,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),Zipcode
171,51.0,550.0,70.0,533.0,5156.0,1941.0,575.0,429.0,78732
174,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,78712
202,76.0,363.0,66.0,232.0,2923.0,1143.0,206.0,392.0,78705
203,145.0,2582.0,384.0,1619.0,11782.0,6529.0,1285.0,1691.0,78759
222,566.0,2700.0,763.0,559.0,4272.0,1649.0,458.0,198.0,78702
223,559.0,6855.0,2019.0,2814.0,12637.0,4364.0,749.0,630.0,78745
2134,57.0,1552.0,422.0,1166.0,6750.0,3106.0,633.0,478.0,78717
2135,52.0,1051.0,154.0,830.0,4143.0,1831.0,205.0,325.0,78737
2136,352.0,3030.0,504.0,618.0,2935.0,878.0,112.0,162.0,78747
2137,94.0,2370.0,340.0,1334.0,11449.0,4629.0,909.0,778.0,78749
2138,213.0,2459.0,285.0,1037.0,6364.0,2561.0,619.0,538.0,78757
2664,532.0,6255.0,1154.0,3707.0,9855.0,3348.0,517.0,415.0,78641
2673,18.0,977.0,43.0,563.0,4894.0,1822.0,411.0,242.0,78738
2682,203.0,2891.0,787.0,940.0,2507.0,522.0,38.0,153.0,78653
2683,23.0,2547.0,552.0,1661.0,7046.0,2624.0,458.0,350.0,78729
2691,39.0,366.0,66.0,39.0,74.0,17.0,5.0,14.0,78719
2692,512.0,3968.0,851.0,1089.0,5522.0,2510.0,510.0,397.0,78723
2694,305.0,3067.0,665.0,614.0,1109.0,499.0,35.0,94.0,78724
2695,158.0,2369.0,523.0,1301.0,8341.0,3015.0,524.0,450.0,78727
2696,15.0,325.0,16.0,287.0,2810.0,1285.0,511.0,249.0,78730
2697,4.0,338.0,31.0,275.0,2224.0,980.0,575.0,343.0,78733
2698,67.0,892.0,163.0,394.0,4728.0,2040.0,517.0,540.0,78751
2705,149.0,3873.0,1087.0,1549.0,5332.0,1872.0,208.0,260.0,78610
2730,135.0,447.0,52.0,306.0,2994.0,1327.0,520.0,346.0,78701
2731,73.0,1220.0,91.0,431.0,4832.0,2441.0,582.0,414.0,78735
2732,405.0,2973.0,191.0,344.0,3172.0,889.0,411.0,129.0,78752
2733,598.0,6743.0,916.0,1969.0,8308.0,2220.0,365.0,554.0,78758
2774,630.0,4102.0,773.0,628.0,1305.0,329.0,92.0,21.0,78617
2779,28.0,540.0,131.0,217.0,2473.0,1028.0,226.0,143.0,78722
2780,614.0,7332.0,1261.0,3374.0,8370.0,3104.0,389.0,292.0,78664
2796,810.0,10098.0,1859.0,5684.0,14758.0,4929.0,707.0,247.0,78660
2797,60.0,358.0,72.0,285.0,6615.0,3929.0,1900.0,657.0,78703
2798,413.0,1863.0,503.0,309.0,1483.0,445.0,91.0,51.0,78721
2799,110.0,724.0,30.0,394.0,3859.0,1895.0,206.0,218.0,78726
2800,188.0,3053.0,313.0,1071.0,4942.0,1376.0,166.0,154.0,78728
2801,0.0,658.0,142.0,407.0,2238.0,772.0,128.0,72.0,78736
2802,184.0,2411.0,374.0,1478.0,7280.0,3767.0,730.0,682.0,78750
2803,1152.0,9552.0,1642.0,1971.0,5319.0,1541.0,296.0,220.0,78753
2817,93.0,931.0,50.0,186.0,1115.0,297.0,118.0,99.0,78652
2818,454.0,3858.0,1174.0,2932.0,12591.0,4644.0,717.0,535.0,78681
2819,235.0,2760.0,714.0,1728.0,15017.0,5045.0,1755.0,1028.0,78704
2820,126.0,1444.0,274.0,208.0,493.0,264.0,56.0,13.0,78725
2821,18.0,766.0,54.0,634.0,5977.0,2508.0,552.0,586.0,78739
2822,27.0,72.0,5.0,61.0,57.0,10.0,4.0,0.0,78742
17808,1372.0,6906.0,1247.0,1634.0,3758.0,920.0,154.0,60.0,78744
17809,333.0,5223.0,1071.0,2246.0,10642.0,4367.0,458.0,289.0,78748
17813,21.0,511.0,152.0,156.0,2796.0,1472.0,310.0,428.0,78756
17854,100.0,895.0,169.0,710.0,8051.0,4692.0,1670.0,1134.0,78731
17855,7.0,1538.0,202.0,628.0,5152.0,1997.0,333.0,342.0,78734
17856,969.0,5324.0,1368.0,2064.0,6501.0,2018.0,401.0,400.0,78741
17857,37.0,748.0,167.0,690.0,8693.0,4168.0,2294.0,956.0,78746
17858,302.0,2931.0,415.0,1551.0,3780.0,1703.0,333.0,187.0,78754
17859,206.0,6018.0,1550.0,4166.0,15978.0,6255.0,823.0,406.0,78613
