,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
171,39.2,17762.0,15215.0,120.0,0.0,2056.0,0.0,371.0,142612.0,62783.0,8004.0,329.0,78732
174,19.6,845.0,591.0,156.0,9.0,18.0,0.0,44.0,-666666666.0,3606.0,234.0,71.0,78712
202,21.0,33075.0,23827.0,2347.0,104.0,4910.0,9.0,1143.0,15309.0,12956.0,12909.0,1260.0,78705
203,40.0,41847.0,33736.0,1510.0,41.0,4505.0,0.0,1393.0,76749.0,51401.0,24512.0,1087.0,78759
222,33.3,22876.0,16739.0,3025.0,40.0,431.0,0.0,804.0,54053.0,31332.0,12896.0,791.0,78702
223,35.4,62220.0,53879.0,2911.0,170.0,1669.0,10.0,1827.0,60567.0,32404.0,37412.0,1857.0,78745
2134,34.7,27764.0,18291.0,1097.0,200.0,6786.0,50.0,978.0,104167.0,45258.0,14236.0,399.0,78717
2135,42.0,15879.0,14313.0,237.0,0.0,498.0,0.0,590.0,127136.0,50418.0,7868.0,234.0,78737
2136,32.1,20954.0,16339.0,1375.0,149.0,456.0,15.0,789.0,79500.0,27493.0,10730.0,345.0,78747
2137,36.7,37453.0,30820.0,1185.0,68.0,3574.0,0.0,1377.0,92313.0,45232.0,22114.0,1143.0,78749
2138,37.0,24059.0,19808.0,317.0,0.0,776.0,0.0,637.0,65709.0,43043.0,14408.0,389.0,78757
2664,34.7,60135.0,51846.0,2293.0,254.0,1643.0,0.0,2367.0,88562.0,35246.0,31014.0,1327.0,78641
2673,41.8,15746.0,13640.0,210.0,0.0,1437.0,0.0,364.0,123836.0,60798.0,7355.0,359.0,78738
2682,32.7,20822.0,11247.0,5006.0,105.0,335.0,0.0,1108.0,66752.0,24618.0,10009.0,786.0,78653
2683,34.1,29434.0,23254.0,1643.0,93.0,2726.0,0.0,1178.0,73047.0,39379.0,18340.0,531.0,78729
2691,43.5,2007.0,1300.0,105.0,0.0,6.0,0.0,56.0,46833.0,16838.0,944.0,16.0,78719
2692,33.7,33170.0,22059.0,6287.0,115.0,720.0,0.0,879.0,49606.0,29017.0,17855.0,914.0,78723
2694,28.4,24833.0,14320.0,5317.0,339.0,63.0,12.0,845.0,45158.0,15450.0,10146.0,661.0,78724
2695,36.4,28999.0,19968.0,1828.0,183.0,5040.0,0.0,1230.0,74458.0,41208.0,17557.0,719.0,78727
2696,41.4,8933.0,7895.0,76.0,0.0,414.0,0.0,423.0,108750.0,76909.0,4818.0,147.0,78730
2697,40.6,8754.0,7196.0,17.0,8.0,1064.0,9.0,362.0,136563.0,71845.0,4245.0,127.0,78733
2698,29.5,14949.0,12373.0,373.0,102.0,998.0,17.0,457.0,54129.0,42009.0,10305.0,531.0,78751
2705,34.4,32692.0,27653.0,1321.0,58.0,535.0,146.0,1319.0,76623.0,31766.0,17341.0,840.0,78610
2730,35.4,7875.0,6714.0,333.0,21.0,520.0,18.0,107.0,112201.0,109136.0,5965.0,101.0,78701
2731,38.1,17919.0,15496.0,518.0,31.0,1414.0,0.0,302.0,102551.0,63894.0,9504.0,382.0,78735
2732,30.4,20302.0,12808.0,1779.0,188.0,365.0,0.0,431.0,41486.0,24519.0,11573.0,524.0,78752
2733,31.4,46618.0,31026.0,3687.0,161.0,2815.0,0.0,1196.0,50018.0,27889.0,27267.0,1285.0,78758
2774,29.6,27900.0,14282.0,2945.0,278.0,433.0,0.0,785.0,52819.0,18598.0,11830.0,729.0,78617
2779,32.6,7254.0,5754.0,853.0,0.0,188.0,29.0,362.0,69267.0,43161.0,4971.0,129.0,78722
2780,33.0,61361.0,44878.0,7412.0,64.0,3403.0,19.0,2988.0,67462.0,29552.0,33104.0,1859.0,78664
2796,34.3,85450.0,55940.0,13462.0,509.0,8032.0,79.0,3492.0,81693.0,32759.0,46229.0,2377.0,78660
2797,36.0,20788.0,18558.0,120.0,38.0,1653.0,0.0,231.0,98553.0,79101.0,12715.0,339.0,78703
2798,34.6,12447.0,6841.0,3851.0,53.0,185.0,0.0,323.0,41611.0,20187.0,6210.0,638.0,78721
2799,31.8,14610.0,10365.0,928.0,0.0,2611.0,0.0,301.0,88322.0,47885.0,8584.0,337.0,78726
2800,34.2,21245.0,13304.0,3956.0,67.0,1768.0,0.0,864.0,55603.0,35054.0,13157.0,381.0,78728
2801,42.9,8199.0,7515.0,37.0,56.0,338.0,6.0,229.0,107467.0,50611.0,4587.0,55.0,78736
2802,39.1,30758.0,22617.0,1206.0,142.0,5029.0,5.0,1386.0,81061.0,47248.0,16066.0,1148.0,78750
2803,30.9,58693.0,35101.0,6597.0,518.0,3543.0,30.0,1688.0,45983.0,22774.0,31754.0,1691.0,78753
2817,40.9,4965.0,4476.0,156.0,118.0,25.0,5.0,23.0,87520.0,37864.0,2605.0,56.0,78652
2818,35.7,57234.0,45188.0,2979.0,113.0,5120.0,32.0,2704.0,100622.0,37504.0,28527.0,1911.0,78681
2819,32.6,47158.0,41998.0,1496.0,298.0,1444.0,24.0,1322.0,66262.0,46947.0,31314.0,1119.0,78704
2820,35.2,7517.0,4111.0,1831.0,0.0,88.0,0.0,251.0,62172.0,23671.0,4232.0,173.0,78725
2821,39.3,20191.0,16935.0,403.0,17.0,2024.0,0.0,688.0,147736.0,55652.0,9380.0,331.0,78739
2822,46.5,517.0,381.0,87.0,0.0,0.0,0.0,22.0,33182.0,23591.0,289.0,13.0,78742
17808,29.3,48432.0,36045.0,3510.0,566.0,425.0,0.0,1121.0,47073.0,18572.0,24411.0,1186.0,78744
17809,33.9,49142.0,40617.0,3015.0,145.0,2295.0,6.0,2038.0,74176.0,34595.0,29047.0,1098.0,78748
17813,36.0,8377.0,7115.0,379.0,0.0,382.0,41.0,300.0,73578.0,56590.0,5744.0,67.0,78756
17854,38.2,27447.0,23021.0,721.0,96.0,2268.0,20.0,909.0,89099.0,64934.0,14910.0,512.0,78731
17855,46.0,18722.0,17405.0,251.0,45.0,475.0,0.0,496.0,107827.0,56728.0,9300.0,439.0,78734
17856,27.8,52307.0,36884.0,6286.0,358.0,2303.0,58.0,1654.0,39049.0,22181.0,31829.0,1787.0,78741
17857,42.2,28268.0,24871.0,189.0,18.0,2106.0,141.0,752.0,136138.0,84115.0,13907.0,518.0,78746
17858,32.6,23858.0,13224.0,4216.0,190.0,2925.0,142.0,1326.0,64114.0,30299.0,12597.0,942.0,78754
17859,35.1,77779.0,63298.0,2511.0,339.0,6448.0,74.0,3320.0,96857.0,38378.0,39590.0,1537.0,78613
