,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,Zipcode
20413,2327.0,34.0,0.0,57.0,12.0,0.0,2760.0,1154.0,1606.0,78610
20416,2429.0,313.0,9.0,146.0,0.0,359.0,3315.0,1389.0,1926.0,78613
20420,3275.0,328.0,117.0,109.0,0.0,68.0,5016.0,2230.0,2786.0,78617
20440,2686.0,226.0,0.0,58.0,0.0,128.0,3289.0,1455.0,1834.0,78641
20447,231.0,15.0,0.0,0.0,0.0,0.0,246.0,75.0,171.0,78652
20448,2296.0,653.0,0.0,39.0,0.0,12.0,3358.0,1607.0,1751.0,78653
20454,4094.0,1424.0,0.0,399.0,0.0,77.0,6211.0,2464.0,3747.0,78660
20458,4670.0,1173.0,53.0,230.0,0.0,462.0,6711.0,3025.0,3686.0,78664
20468,2704.0,315.0,0.0,169.0,0.0,72.0,3297.0,1389.0,1908.0,78681
20469,569.0,58.0,17.0,13.0,0.0,13.0,679.0,386.0,293.0,78701
20470,3559.0,1424.0,0.0,114.0,0.0,184.0,5481.0,2578.0,2903.0,78702
20471,1172.0,3.0,28.0,311.0,0.0,0.0,1515.0,766.0,749.0,78703
20472,6191.0,513.0,184.0,143.0,33.0,154.0,7332.0,3537.0,3795.0,78704
20473,8480.0,323.0,72.0,3292.0,0.0,575.0,12961.0,6613.0,6348.0,78705
20474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
20475,577.0,32.0,0.0,103.0,0.0,0.0,712.0,308.0,404.0,78717
20476,269.0,14.0,0.0,0.0,0.0,0.0,310.0,136.0,174.0,78719
20477,1903.0,1312.0,3.0,60.0,0.0,32.0,3516.0,1323.0,2193.0,78721
20478,625.0,95.0,0.0,10.0,32.0,224.0,986.0,238.0,748.0,78722
20479,5490.0,1904.0,10.0,121.0,0.0,114.0,8699.0,3948.0,4751.0,78723
20480,4294.0,1200.0,108.0,0.0,0.0,226.0,6707.0,3326.0,3381.0,78724
20481,832.0,771.0,0.0,0.0,0.0,65.0,1668.0,919.0,749.0,78725
20482,956.0,13.0,0.0,0.0,0.0,91.0,1060.0,279.0,781.0,78726
20483,1062.0,314.0,0.0,246.0,0.0,77.0,1811.0,738.0,1073.0,78727
21654,935.0,503.0,0.0,95.0,0.0,131.0,1846.0,861.0,985.0,78728
21655,1211.0,353.0,0.0,181.0,0.0,77.0,1878.0,867.0,1011.0,78729
21656,306.0,0.0,0.0,16.0,0.0,38.0,360.0,85.0,275.0,78730
21657,1737.0,78.0,0.0,472.0,0.0,57.0,2438.0,918.0,1520.0,78731
21658,188.0,0.0,0.0,0.0,0.0,0.0,188.0,22.0,166.0,78732
21659,174.0,0.0,0.0,5.0,0.0,0.0,194.0,70.0,124.0,78733
21660,1329.0,11.0,0.0,11.0,0.0,39.0,1408.0,445.0,963.0,78734
21661,1257.0,42.0,0.0,0.0,0.0,30.0,1329.0,624.0,705.0,78735
21662,116.0,1.0,0.0,49.0,0.0,0.0,166.0,57.0,109.0,78736
21663,386.0,3.0,0.0,1.0,0.0,0.0,391.0,174.0,217.0,78737
21664,285.0,0.0,0.0,21.0,0.0,66.0,372.0,200.0,172.0,78738
21665,377.0,0.0,0.0,42.0,0.0,21.0,440.0,189.0,251.0,78739
21666,12757.0,2041.0,234.0,1092.0,0.0,728.0,18029.0,9055.0,8974.0,78741
21667,151.0,36.0,0.0,0.0,0.0,0.0,187.0,85.0,102.0,78742
21668,9558.0,842.0,26.0,7.0,0.0,404.0,12408.0,5872.0,6536.0,78744
21669,6907.0,480.0,40.0,166.0,11.0,369.0,8176.0,3789.0,4387.0,78745
21670,1009.0,39.0,0.0,76.0,67.0,28.0,1247.0,580.0,667.0,78746
21671,1015.0,0.0,0.0,0.0,0.0,32.0,1169.0,607.0,562.0,78747
21672,3942.0,189.0,0.0,98.0,0.0,262.0,4639.0,2422.0,2217.0,78748
21673,1568.0,54.0,0.0,136.0,0.0,51.0,1819.0,747.0,1072.0,78749
21674,1800.0,54.0,0.0,359.0,0.0,0.0,2213.0,1011.0,1202.0,78750
21675,2258.0,133.0,27.0,208.0,0.0,64.0,3097.0,1317.0,1780.0,78751
21676,4091.0,677.0,0.0,101.0,0.0,86.0,5808.0,2865.0,2943.0,78752
21677,7007.0,2056.0,79.0,467.0,16.0,522.0,13570.0,6582.0,6988.0,78753
21678,1896.0,518.0,0.0,156.0,0.0,39.0,2906.0,809.0,2097.0,78754
21679,598.0,86.0,0.0,45.0,0.0,0.0,862.0,503.0,359.0,78756
21680,2148.0,156.0,0.0,232.0,0.0,89.0,3568.0,1658.0,1910.0,78757
21681,5944.0,1080.0,35.0,356.0,0.0,264.0,10471.0,5083.0,5388.0,78758
21682,1671.0,194.0,0.0,333.0,0.0,73.0,2360.0,1209.0,1151.0,78759
