,Unnamed: 0_x,Median Age_2011,Population_2011,Population (White Alone)_2011,Population (Black Alone)_2011,Population (American Indian or Alaskan Native Alone)_2011,Population (Asian Alone)_2011,Population (Native Hawaiian and Other Pacific Islander Alone)_2011,Population (Two or more races)_2011,Household Income_2011,Per Capita Income_2011,Employed_2011,Unemployed_2011,Zipcode,Unnamed: 0_y,Median Age_2012,Population_2012,Population (White Alone)_2012,Population (Black Alone)_2012,Population (American Indian or Alaskan Native Alone)_2012,Population (Asian Alone)_2012,Population (Native Hawaiian and Other Pacific Islander Alone)_2012,Population (Two or more races)_2012,Household Income_2012,Per Capita Income_2012,Employed_2012,Unemployed_2012,Unnamed: 0_x,Median Age_2013,Population_2013,Population (White Alone)_2013,Population (Black Alone)_2013,Population (American Indian or Alaskan Native Alone)_2013,Population (Asian Alone)_2013,Population (Native Hawaiian and Other Pacific Islander Alone)_2013,Population (Two or more races)_2013,Household Income_2013,Per Capita Income_2013,Employed_2013,Unemployed_2013,Unnamed: 0_y,Median Age_2014,Population_2014,Population (White Alone)_2014,Population (Black Alone)_2014,Population (American Indian or Alaskan Native Alone)_2014,Population (Asian Alone)_2014,Population (Native Hawaiian and Other Pacific Islander Alone)_2014,Population (Two or more races)_2014,Household Income_2014,Per Capita Income_2014,Employed_2014,Unemployed_2014,Unnamed: 0_x,Median Age_2015,Population_2015,Population (White Alone)_2015,Population (Black Alone)_2015,Population (American Indian or Alaskan Native Alone)_2015,Population (Asian Alone)_2015,Population (Native Hawaiian and Other Pacific Islander Alone)_2015,Population (Two or more races)_2015,Household Income_2015,Per Capita Income_2015,Employed_2015,Unemployed_2015,Unnamed: 0_y,Median Age_2016,Population_2016,Population (White Alone)_2016,Population (Black Alone)_2016,Population (American Indian or Alaskan Native Alone)_2016,Population (Asian Alone)_2016,Population (Native Hawaiian and Other Pacific Islander Alone)_2016,Population (Two or more races)_2016,Household Income_2016,Per Capita Income_2016,Employed_2016,Unemployed_2016,Unnamed: 0_x,Median Age_2017,Population_2017,Population (White Alone)_2017,Population (Black Alone)_2017,Population (American Indian or Alaskan Native Alone)_2017,Population (Asian Alone)_2017,Population (Native Hawaiian and Other Pacific Islander Alone)_2017,Population (Two or more races)_2017,Household Income_2017,Per Capita Income_2017,Employed_2017,Unemployed_2017,Unnamed: 0_y,Median Age_2018,Population_2018,Population (White Alone)_2018,Population (Black Alone)_2018,Population (American Indian or Alaskan Native Alone)_2018,Population (Asian Alone)_2018,Population (Native Hawaiian and Other Pacific Islander Alone)_2018,Population (Two or more races)_2018,Household Income_2018,Per Capita Income_2018,Employed_2018,Unemployed_2018
0,25748,35.9,22052.0,17817.0,333.0,78.0,170.0,8.0,346.0,82702.0,31356.0,11201.0,744.0,78610,24713,34.7,24313.0,20457.0,557.0,79.0,189.0,13.0,406.0,83536.0,31452.0,12154.0,946.0,27315,34.6,25580.0,21828.0,590.0,93.0,301.0,69.0,657.0,79049.0,31048.0,12926.0,1104.0,28878,34.6,26991.0,22506.0,801.0,109.0,199.0,104.0,1029.0,74550.0,29996.0,13127.0,1030.0,31370,34.9,29200.0,24344.0,1024.0,111.0,330.0,124.0,967.0,74250.0,29610.0,14466.0,977.0,20413,34.7,30452.0,26023.0,1220.0,56.0,471.0,125.0,885.0,75453.0,30388.0,15418.0,983.0,2705,34.4,32692.0,27653.0,1321.0,58.0,535.0,146.0,1319.0,76623.0,31766.0,17341.0,840.0,19024,35.0,35142.0,29990.0,1473.0,123.0,434.0,71.0,1064.0,79318.0,33389.0,18319.0,666.0
1,25751,33.9,63901.0,50457.0,3520.0,196.0,3954.0,25.0,1744.0,81819.0,33101.0,32226.0,2282.0,78613,24716,34.5,65178.0,52201.0,3257.0,153.0,4559.0,27.0,1947.0,80694.0,33747.0,32358.0,2530.0,27318,34.7,68426.0,56193.0,2864.0,140.0,4992.0,23.0,1910.0,81928.0,34311.0,33830.0,2658.0,28881,34.9,70764.0,58439.0,3398.0,158.0,5498.0,0.0,2358.0,83146.0,35314.0,34962.0,2383.0,31373,34.4,73448.0,60815.0,3039.0,246.0,5924.0,30.0,2395.0,84556.0,34849.0,36754.0,2273.0,20416,34.6,75279.0,61783.0,2712.0,311.0,6427.0,19.0,2920.0,91033.0,35957.0,37399.0,1782.0,17859,35.1,77779.0,63298.0,2511.0,339.0,6448.0,74.0,3320.0,96857.0,38378.0,39590.0,1537.0,19599,35.1,79699.0,64495.0,2375.0,298.0,7192.0,52.0,3385.0,101832.0,39885.0,41315.0,1406.0
2,25755,28.8,18572.0,10266.0,1762.0,284.0,258.0,0.0,628.0,44334.0,14975.0,7098.0,1061.0,78617,24720,30.4,19553.0,12098.0,1826.0,388.0,223.0,0.0,594.0,43957.0,15559.0,7747.0,1377.0,27322,30.0,21096.0,13458.0,2435.0,367.0,434.0,0.0,671.0,45212.0,15029.0,7938.0,1450.0,28885,30.0,23025.0,15923.0,2772.0,267.0,336.0,0.0,551.0,45040.0,15038.0,8339.0,1471.0,31377,30.2,25473.0,15865.0,3147.0,305.0,533.0,0.0,1024.0,45995.0,15645.0,9207.0,1708.0,20420,30.0,26126.0,15979.0,2855.0,332.0,343.0,0.0,735.0,47551.0,16737.0,10446.0,898.0,2774,29.6,27900.0,14282.0,2945.0,278.0,433.0,0.0,785.0,52819.0,18598.0,11830.0,729.0,19060,29.8,28558.0,12242.0,2124.0,376.0,461.0,0.0,898.0,54940.0,19639.0,12659.0,817.0
3,25775,32.2,43655.0,37893.0,1457.0,113.0,801.0,0.0,1114.0,67683.0,27738.0,21938.0,1389.0,78641,24740,32.8,47490.0,41339.0,1759.0,80.0,890.0,0.0,1158.0,64442.0,27830.0,23422.0,1761.0,27342,33.4,48854.0,42609.0,1517.0,128.0,949.0,0.0,1460.0,71885.0,29372.0,24117.0,1887.0,28905,33.7,51247.0,45426.0,1460.0,228.0,910.0,0.0,1696.0,73535.0,29910.0,25872.0,1994.0,32187,34.6,52984.0,46598.0,1850.0,155.0,926.0,0.0,1977.0,77052.0,31313.0,26832.0,1579.0,20440,34.8,55933.0,48572.0,1979.0,239.0,1204.0,0.0,2347.0,83526.0,33138.0,28321.0,1594.0,2664,34.7,60135.0,51846.0,2293.0,254.0,1643.0,0.0,2367.0,88562.0,35246.0,31014.0,1327.0,18983,34.9,65654.0,55754.0,3048.0,203.0,2017.0,96.0,3034.0,94685.0,36055.0,33057.0,1350.0
4,25782,39.1,4256.0,3765.0,131.0,0.0,37.0,0.0,65.0,79107.0,37908.0,2476.0,204.0,78652,24747,39.0,4687.0,4113.0,189.0,0.0,62.0,0.0,123.0,77985.0,35796.0,2673.0,169.0,27349,36.5,5117.0,4649.0,124.0,0.0,55.0,0.0,115.0,76604.0,35643.0,2775.0,234.0,28912,35.9,5408.0,4677.0,154.0,75.0,63.0,2.0,143.0,70868.0,33957.0,2825.0,275.0,32194,36.6,5355.0,4608.0,142.0,72.0,66.0,19.0,108.0,73194.0,34362.0,2935.0,245.0,20447,40.1,4919.0,4395.0,119.0,92.0,65.0,12.0,71.0,78594.0,34131.0,2647.0,52.0,2817,40.9,4965.0,4476.0,156.0,118.0,25.0,5.0,23.0,87520.0,37864.0,2605.0,56.0,19494,42.2,5504.0,4882.0,238.0,99.0,50.0,17.0,88.0,82328.0,39023.0,3123.0,71.0
5,25783,29.5,14631.0,8136.0,2916.0,197.0,252.0,0.0,290.0,55073.0,21795.0,6701.0,414.0,78653,24748,30.0,15783.0,8529.0,3599.0,175.0,168.0,0.0,512.0,55398.0,21585.0,7262.0,545.0,27350,30.5,16917.0,9857.0,3708.0,161.0,297.0,0.0,548.0,59763.0,21044.0,7751.0,719.0,28913,31.3,17968.0,10840.0,4189.0,158.0,340.0,0.0,905.0,62415.0,22325.0,8374.0,685.0,32195,30.5,19072.0,10938.0,4651.0,74.0,142.0,0.0,726.0,62198.0,21236.0,8736.0,761.0,20448,32.8,19328.0,11405.0,4613.0,131.0,201.0,0.0,957.0,60880.0,22020.0,8814.0,904.0,2682,32.7,20822.0,11247.0,5006.0,105.0,335.0,0.0,1108.0,66752.0,24618.0,10009.0,786.0,18990,32.6,22804.0,10971.0,5804.0,109.0,483.0,0.0,1293.0,69107.0,24564.0,10801.0,698.0
6,25789,31.6,67630.0,41989.0,10067.0,258.0,6952.0,0.0,1764.0,72137.0,27021.0,33759.0,2711.0,78660,24754,32.3,70407.0,47006.0,10518.0,301.0,6801.0,0.0,1646.0,71507.0,27540.0,35285.0,2931.0,27356,32.5,75038.0,50963.0,11004.0,446.0,7595.0,0.0,1656.0,76007.0,28353.0,37967.0,3154.0,28919,33.7,77046.0,54681.0,11293.0,497.0,7110.0,0.0,1782.0,75138.0,29093.0,39921.0,2866.0,32201,34.2,79067.0,55690.0,12106.0,568.0,6932.0,10.0,2095.0,76368.0,30306.0,41733.0,2580.0,20454,33.8,81698.0,55090.0,13325.0,559.0,7929.0,119.0,2901.0,78145.0,31515.0,44369.0,2346.0,2796,34.3,85450.0,55940.0,13462.0,509.0,8032.0,79.0,3492.0,81693.0,32759.0,46229.0,2377.0,17965,34.1,89830.0,59056.0,12760.0,840.0,8755.0,108.0,4487.0,83499.0,33870.0,48999.0,1928.0
7,25793,31.1,51942.0,38563.0,6144.0,244.0,2110.0,15.0,2127.0,62283.0,27852.0,27226.0,2344.0,78664,24758,30.6,54864.0,41775.0,6693.0,245.0,2096.0,17.0,2196.0,60442.0,26551.0,27776.0,2537.0,27360,30.9,57806.0,43847.0,6992.0,246.0,2583.0,20.0,2010.0,61401.0,26891.0,29080.0,2806.0,28923,31.8,58959.0,45550.0,6746.0,175.0,2733.0,71.0,2053.0,61673.0,27690.0,29699.0,2291.0,32205,31.7,59765.0,45002.0,7510.0,181.0,2881.0,11.0,1977.0,62446.0,26672.0,30205.0,2023.0,20458,32.8,60884.0,45617.0,7329.0,121.0,2753.0,11.0,2901.0,63923.0,27792.0,32221.0,1933.0,2780,33.0,61361.0,44878.0,7412.0,64.0,3403.0,19.0,2988.0,67462.0,29552.0,33104.0,1859.0,19066,33.6,62183.0,46500.0,6938.0,39.0,3271.0,21.0,3272.0,72467.0,31328.0,34104.0,1867.0
8,25803,34.3,51409.0,41412.0,2161.0,590.0,3611.0,14.0,2253.0,89900.0,34144.0,25740.0,1739.0,78681,24768,34.2,53229.0,42930.0,2271.0,473.0,3985.0,11.0,2320.0,92981.0,33603.0,26653.0,1777.0,27370,35.1,54141.0,43474.0,2515.0,495.0,4151.0,17.0,2513.0,92453.0,34024.0,26463.0,1926.0,28933,35.4,54517.0,44267.0,2504.0,450.0,3994.0,17.0,2206.0,96086.0,35499.0,26789.0,1927.0,32215,35.3,54923.0,44337.0,2758.0,417.0,4074.0,0.0,2356.0,96100.0,35720.0,27198.0,1747.0,20468,35.7,56086.0,44715.0,3175.0,94.0,4532.0,0.0,2402.0,98444.0,36096.0,28015.0,1917.0,2818,35.7,57234.0,45188.0,2979.0,113.0,5120.0,32.0,2704.0,100622.0,37504.0,28527.0,1911.0,19495,36.0,56959.0,44249.0,3415.0,105.0,5416.0,23.0,2494.0,103681.0,38595.0,28887.0,1604.0
9,25804,33.1,5084.0,4097.0,397.0,0.0,335.0,0.0,81.0,63484.0,69865.0,3277.0,314.0,78701,24769,33.8,5642.0,4596.0,326.0,0.0,452.0,0.0,135.0,68152.0,76811.0,3534.0,347.0,27371,33.8,5915.0,4847.0,313.0,0.0,453.0,0.0,175.0,86541.0,89670.0,4080.0,276.0,28934,33.3,6188.0,5001.0,306.0,0.0,589.0,0.0,183.0,87306.0,92411.0,4323.0,229.0,32216,33.5,7051.0,5708.0,265.0,13.0,666.0,15.0,273.0,96455.0,94892.0,5133.0,181.0,20469,36.5,7401.0,6192.0,227.0,17.0,624.0,17.0,233.0,102112.0,105058.0,5382.0,138.0,2730,35.4,7875.0,6714.0,333.0,21.0,520.0,18.0,107.0,112201.0,109136.0,5965.0,101.0,19086,35.3,9427.0,7990.0,396.0,31.0,616.0,19.0,185.0,107190.0,99948.0,7108.0,121.0
