ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
11,"Legal Occupations",2014,"2014",98281,9969,"Austin, TX","16000US4805000","austin-tx"
11,"Legal Occupations",2018,"2018",95310,19567,"Austin, TX","16000US4805000","austin-tx"
11,"Legal Occupations",2017,"2017",93458,23204,"Austin, TX","16000US4805000","austin-tx"
11,"Legal Occupations",2013,"2013",90478,16964,"Austin, TX","16000US4805000","austin-tx"
11,"Legal Occupations",2016,"2016",84482,11630,"Austin, TX","16000US4805000","austin-tx"
7,"Architecture & Engineering Occupations",2015,"2015",83561,7413,"Austin, TX","16000US4805000","austin-tx"
11,"Legal Occupations",2015,"2015",82717,7599,"Austin, TX","16000US4805000","austin-tx"
7,"Architecture & Engineering Occupations",2017,"2017",81033,7779,"Austin, TX","16000US4805000","austin-tx"
6,"Computer & Mathematical Occupations",2018,"2018",81008,7055,"Austin, TX","16000US4805000","austin-tx"
7,"Architecture & Engineering Occupations",2018,"2018",80560,4967,"Austin, TX","16000US4805000","austin-tx"
7,"Architecture & Engineering Occupations",2016,"2016",79562,4781,"Austin, TX","16000US4805000","austin-tx"
6,"Computer & Mathematical Occupations",2015,"2015",78609,7010,"Austin, TX","16000US4805000","austin-tx"
5,"Computer, Engineering, & Science Occupations",2015,"2015",78482,6047,"Austin, TX","16000US4805000","austin-tx"
7,"Architecture & Engineering Occupations",2014,"2014",78407,9949,"Austin, TX","16000US4805000","austin-tx"
5,"Computer, Engineering, & Science Occupations",2018,"2018",78099,4951,"Austin, TX","16000US4805000","austin-tx"
6,"Computer & Mathematical Occupations",2016,"2016",77595,6428,"Austin, TX","16000US4805000","austin-tx"
6,"Computer & Mathematical Occupations",2014,"2014",75965,3914,"Austin, TX","16000US4805000","austin-tx"
6,"Computer & Mathematical Occupations",2017,"2017",75686,3434,"Austin, TX","16000US4805000","austin-tx"
3,"Management Occupations",2018,"2018",75563,3889,"Austin, TX","16000US4805000","austin-tx"
5,"Computer, Engineering, & Science Occupations",2017,"2017",75166,3688,"Austin, TX","16000US4805000","austin-tx"
5,"Computer, Engineering, & Science Occupations",2016,"2016",74307,4994,"Austin, TX","16000US4805000","austin-tx"
5,"Computer, Engineering, & Science Occupations",2014,"2014",73960,5600,"Austin, TX","16000US4805000","austin-tx"
2,"Management, Business, & Financial Occupations",2018,"2018",71789,3671,"Austin, TX","16000US4805000","austin-tx"
7,"Architecture & Engineering Occupations",2013,"2013",71729,10148,"Austin, TX","16000US4805000","austin-tx"
3,"Management Occupations",2016,"2016",70802,6105,"Austin, TX","16000US4805000","austin-tx"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2018,"2018",70732,8120,"Austin, TX","16000US4805000","austin-tx"
6,"Computer & Mathematical Occupations",2013,"2013",70645,4704,"Austin, TX","16000US4805000","austin-tx"
3,"Management Occupations",2015,"2015",69908,6991,"Austin, TX","16000US4805000","austin-tx"
3,"Management Occupations",2017,"2017",69323,5637,"Austin, TX","16000US4805000","austin-tx"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2017,"2017",68342,8065,"Austin, TX","16000US4805000","austin-tx"
5,"Computer, Engineering, & Science Occupations",2013,"2013",67656,4054,"Austin, TX","16000US4805000","austin-tx"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2013,"2013",66342,5522,"Austin, TX","16000US4805000","austin-tx"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2016,"2016",66272,12797,"Austin, TX","16000US4805000","austin-tx"
2,"Management, Business, & Financial Occupations",2017,"2017",65400,3345,"Austin, TX","16000US4805000","austin-tx"
4,"Business & Financial Operations Occupations",2018,"2018",64374,6689,"Austin, TX","16000US4805000","austin-tx"
2,"Management, Business, & Financial Occupations",2016,"2016",64020,4457,"Austin, TX","16000US4805000","austin-tx"
3,"Management Occupations",2014,"2014",63753,5058,"Austin, TX","16000US4805000","austin-tx"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2015,"2015",62669,6967,"Austin, TX","16000US4805000","austin-tx"
1,"Management, Business, Science, & Arts Occupations",2018,"2018",62313,1649,"Austin, TX","16000US4805000","austin-tx"
8,"Life, Physical, & Social Science Occupations",2018,"2018",62154,13382,"Austin, TX","16000US4805000","austin-tx"
14,"Healthcare Practitioners & Technical Occupations",2018,"2018",61912,3895,"Austin, TX","16000US4805000","austin-tx"
2,"Management, Business, & Financial Occupations",2015,"2015",61688,2095,"Austin, TX","16000US4805000","austin-tx"
3,"Management Occupations",2013,"2013",61411,1613,"Austin, TX","16000US4805000","austin-tx"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2014,"2014",61386,2107,"Austin, TX","16000US4805000","austin-tx"
4,"Business & Financial Operations Occupations",2017,"2017",60989,1236,"Austin, TX","16000US4805000","austin-tx"
