"ZIP code",Size of adjusted gross income,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI)

75001,,"8,535","1,730","3,911","13,083","3,085","558,152"
75001,"$1 under $25,000",2644,220,1266,3778,1160,35921
75001,"$25,000 under $50,000",2442,327,1018,3725,969,90058
75001,"$50,000 under $75,000",1426,273,583,2046,353,87462
75001,"$75,000 under $100,000",720,211,325,1080,151,62290
75001,"$100,000 under $200,000",938,449,457,1668,281,126796
75001,"$200,000 or more",365,250,262,786,171,155625
75002,,"28,437","13,865","10,987","64,737","25,033","2,212,316"
75002,"$1 under $25,000",8616,968,3118,10290,3262,97539
75002,"$25,000 under $50,000",5064,1597,2030,10775,4148,186235
75002,"$50,000 under $75,000",3741,1926,1494,8960,3299,232607
75002,"$75,000 under $100,000",3431,2548,1275,9775,3799,299184
75002,"$100,000 under $200,000",5954,5299,2203,19356,8102,809137
75002,"$200,000 or more",1631,1527,867,5581,2423,587614
75006,,"23,164","7,656","12,605","50,110","20,381","1,049,190"
75006,"$1 under $25,000",9935,1549,5779,18818,8414,136244
75006,"$25,000 under $50,000",6622,2087,3646,16007,7306,236000
75006,"$50,000 under $75,000",2854,1305,1368,6289,2134,174873
75006,"$75,000 under $100,000",1570,986,736,3578,1022,136114
75006,"$100,000 under $200,000",1811,1421,855,4473,1240,240609
75006,"$200,000 or more",372,308,221,945,265,125350
75007,,"25,466","10,734","11,711","52,886","18,637","1,564,849"
75007,"$1 under $25,000",8589,1181,4014,11840,3991,102762
75007,"$25,000 under $50,000",5947,1851,2859,12788,5017,216221
75007,"$50,000 under $75,000",3584,1774,1656,8165,2808,220565
75007,"$75,000 under $100,000",2625,1849,1057,6667,2195,227436
75007,"$100,000 under $200,000",3814,3259,1624,10669,3596,512100
75007,"$200,000 or more",907,820,501,2757,1030,285765
75009,,"3,724","1,968","1,806","8,990","3,594","277,579"
75009,"$1 under $25,000",1199,215,548,1854,733,14447
75009,"$25,000 under $50,000",741,300,354,1742,703,27207
75009,"$50,000 under $75,000",495,320,248,1333,518,30446
75009,"$75,000 under $100,000",417,323,184,1174,435,36170
75009,"$100,000 under $200,000",661,610,328,2205,934,91272
75009,"$200,000 or more",211,200,144,682,271,78037
75010,,"11,285","4,538","4,942","22,910","7,876","782,937"
75010,"$1 under $25,000",3244,416,1446,4120,1235,38935
75010,"$25,000 under $50,000",2736,669,1108,5014,1619,101792
75010,"$50,000 under $75,000",1728,686,759,3638,1224,106358
75010,"$75,000 under $100,000",1227,771,523,3081,1086,106581
75010,"$100,000 under $200,000",1832,1533,802,5440,2076,251243
75010,"$200,000 or more",518,463,304,1617,636,178028
75013,,"14,468","8,278","5,965","35,194","13,671","1,733,950"
75013,"$1 under $25,000",3200,333,1072,3034,695,32491
75013,"$25,000 under $50,000",1938,536,731,3572,1119,71974
75013,"$50,000 under $75,000",1464,663,636,3169,1042,90710
75013,"$75,000 under $100,000",1402,902,627,3693,1394,122644
75013,"$100,000 under $200,000",4199,3704,1684,13770,5869,601667
75013,"$200,000 or more",2265,2140,1215,7956,3552,814464
75019,,"18,687","9,261","8,520","41,649","15,688","2,202,504"
75019,"$1 under $25,000",4860,434,1952,4496,1157,47969
75019,"$25,000 under $50,000",2915,696,1214,5371,1794,108067
75019,"$50,000 under $75,000",2092,826,927,4376,1459,129661
75019,"$75,000 under $100,000",1772,1123,737,4534,1641,154956
75019,"$100,000 under $200,000",4421,3777,2063,13933,5731,626191
75019,"$200,000 or more",2627,2405,1627,8939,3906,1135660
75020,,"9,458","3,612","5,023","18,765","6,168","409,896"
75020,"$1 under $25,000",4454,749,2234,7241,2502,56957
75020,"$25,000 under $50,000",2448,902,1258,5143,1801,86901
75020,"$50,000 under $75,000",1190,796,666,2795,811,73050
75020,"$75,000 under $100,000",639,525,374,1637,473,54941
75020,"$100,000 under $200,000",596,530,377,1601,474,78117
75020,"$200,000 or more",131,110,114,348,107,59930
75021,,"3,824","1,601","2,212","7,561","2,304","161,412"
75021,"$1 under $25,000",1682,359,895,2808,925,21302
75021,"$25,000 under $50,000",1049,418,617,2133,670,37674
75021,"$50,000 under $75,000",520,331,319,1146,301,32029
75021,"$75,000 under $100,000",288,240,182,714,186,24789
75021,"$100,000 under $200,000",245,215,165,651,191,31604
75021,"$200,000 or more",40,38,34,109,31,14014
75022,,"9,442","5,702","4,405","23,590","9,652","1,458,563"
75022,"$1 under $25,000",2385,174,881,1783,405,21269
75022,"$25,000 under $50,000",864,256,424,1626,527,31846
75022,"$50,000 under $75,000",716,351,368,1602,538,44897
75022,"$75,000 under $100,000",772,598,377,2274,904,67520
75022,"$100,000 under $200,000",2946,2672,1286,10049,4432,427941
75022,"$200,000 or more",1759,1651,1069,6256,2846,865090
75023,,"22,814","9,550","9,225","45,024","14,324","1,489,452"
75023,"$1 under $25,000",7154,968,2870,9401,2903,85294
75023,"$25,000 under $50,000",5116,1440,2100,9808,3282,187632
75023,"$50,000 under $75,000",3463,1531,1431,7247,2262,213964
75023,"$75,000 under $100,000",2467,1656,951,5890,1767,214356
75023,"$100,000 under $200,000",3756,3173,1442,10241,3313,507290
75023,"$200,000 or more",858,782,431,2437,797,280916
75024,,"18,412","8,193","8,251","38,020","12,567","1,958,341"
75024,"$1 under $25,000",4181,424,1709,4471,981,47747
75024,"$25,000 under $50,000",3554,688,1353,5506,1297,133824
75024,"$50,000 under $75,000",2833,972,1299,5145,1351,175759
75024,"$75,000 under $100,000",1849,1095,836,4434,1487,160799
75024,"$100,000 under $200,000",3926,3163,1741,11708,4617,552728
75024,"$200,000 or more",2069,1851,1313,6756,2834,887484
75025,,"23,436","11,947","9,049","52,944","19,725","2,207,435"
75025,"$1 under $25,000",6210,694,2110,6354,1562,64944
75025,"$25,000 under $50,000",3761,1036,1457,6941,2194,139481
75025,"$50,000 under $75,000",2812,1244,1149,6026,1971,175057
75025,"$75,000 under $100,000",2426,1652,955,6528,2449,212197
75025,"$100,000 under $200,000",5984,5215,2282,19252,8054,840011
75025,"$200,000 or more",2243,2106,1096,7843,3495,775745
75028,,"19,072","10,216","7,674","43,352","16,201","1,767,721"
75028,"$1 under $25,000",5056,427,1659,4473,1099,50654
75028,"$25,000 under $50,000",2626,739,1072,4997,1657,97746
75028,"$50,000 under $75,000",2166,1083,911,5111,1862,135189
75028,"$75,000 under $100,000",2374,1770,958,6702,2561,207418
75028,"$100,000 under $200,000",5217,4666,2141,16435,6551,720514
75028,"$200,000 or more",1633,1531,933,5634,2471,556200
75032,,"12,461","6,231","6,526","28,399","10,752","1,217,589"
75032,"$1 under $25,000",3843,572,1908,5196,1809,42929
75032,"$25,000 under $50,000",2227,736,1170,4986,2035,82634
75032,"$50,000 under $75,000",1572,807,780,3708,1329,97967
75032,"$75,000 under $100,000",1225,923,623,3421,1275,106120
75032,"$100,000 under $200,000",2362,2064,1191,7149,2724,326690
75032,"$200,000 or more",1232,1129,854,3939,1580,561249
75034,,"21,665","10,850","10,623","48,673","17,349","2,802,472"
75034,"$1 under $25,000",5221,669,2318,6955,2234,62229
75034,"$25,000 under $50,000",3870,953,1674,7192,2392,142275
75034,"$50,000 under $75,000",2662,1089,1253,5386,1631,164564
75034,"$75,000 under $100,000",2042,1343,955,4983,1603,177940
75034,"$100,000 under $200,000",4827,4036,2388,14336,5471,680750
75034,"$200,000 or more",3043,2760,2035,9821,4018,1574714
75035,,"22,116","11,495","9,034","52,339","20,352","1,871,692"
75035,"$1 under $25,000",5038,576,1967,5548,1545,55011
75035,"$25,000 under $50,000",3521,974,1423,6780,2300,131804
75035,"$50,000 under $75,000",3087,1337,1246,6954,2529,192934
75035,"$75,000 under $100,000",3048,2119,1226,8612,3445,266908
75035,"$100,000 under $200,000",6160,5336,2469,20111,8615,842428
75035,"$200,000 or more",1262,1153,703,4334,1918,382607
75038,,"14,692","4,018","7,655","27,892","9,602","877,215"
75038,"$1 under $25,000",6058,660,3287,10181,3870,82568
75038,"$25,000 under $50,000",4376,934,2112,8291,2990,155784
75038,"$50,000 under $75,000",1953,794,964,3798,1055,119523
75038,"$75,000 under $100,000",920,557,435,2110,633,79150
75038,"$100,000 under $200,000",928,710,504,2356,718,123342
75038,"$200,000 or more",457,363,353,1156,336,316848
75039,,"7,401","2,196","3,260","11,927","2,548","697,173"
75039,"$1 under $25,000",1497,114,651,1741,329,19988
75039,"$25,000 under $50,000",1825,236,698,2478,433,69418
75039,"$50,000 under $75,000",1478,338,594,2167,354,91038
75039,"$75,000 under $100,000",858,334,367,1498,308,73976
75039,"$100,000 under $200,000",1160,725,556,2550,663,160029
75039,"$200,000 or more",583,449,394,1493,461,282724
75040,,"26,994","9,607","14,427","61,016","25,962","1,051,107"
75040,"$1 under $25,000",12306,1972,6968,22576,9826,162467
75040,"$25,000 under $50,000",7640,2746,4194,19482,9112,273649
75040,"$50,000 under $75,000",3508,1973,1714,9071,3591,213907
75040,"$75,000 under $100,000",1741,1329,749,4738,1670,150246
75040,"$100,000 under $200,000",1681,1482,734,4800,1637,216949
75040,"$200,000 or more",118,105,68,349,126,33889
75041,,"12,710","4,165","7,406","30,437","14,083","428,016"
75041,"$1 under $25,000",6494,1118,3893,13654,6558,88731
75041,"$25,000 under $50,000",3816,1456,2242,10536,5267,133830
