"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",0,1996,-0.0278,-0.061,-0.0146,32023
2020-01-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",1,1778,0.0013,0.0079,0.0022,43054
2020-01-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",2,1443,-0.0071,0.0247,0.0179,41100
2020-01-31,"10002","NY","New York-Newark-Jersey City","New York County","New York",3,3605,-0.0139,-0.0316,0.0223,12425
2020-01-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",4,1438,0.0013,0.0122,0.0216,31001
2020-01-31,"79936","TX","El Paso","El Paso County","El Paso",5,991,0.0146,0.0439,0.037,32461
2020-01-31,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",6,1651,0.0038,-0.0077,0.0222,21699
2020-01-31,"11226","NY","New York-Newark-Jersey City","Kings County","New York",7,2174,0.0034,-0.0202,0.0273,10898
2020-01-31,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",8,1842,0.0209,0.0331,0.0537,11447
2020-01-31,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",9,1521,-0.0038,0.03,0.0525,35734
2020-01-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",10,4406,-0.0056,-0.0125,0.0093,9973
2020-01-31,"10016","NY","New York-Newark-Jersey City","New York County","New York",11,3365,-0.0073,-0.0112,0.0384,30892
2020-01-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",12,1337,0.0026,0.0017,-0.0143,28487
2020-01-31,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",13,1824,-0.0278,-0.0528,-0.0074,22501
2020-01-31,"11201","NY","New York-Newark-Jersey City","Kings County","New York",14,3045,0.0022,0.0452,0.0958,27413
2020-01-31,"11235","NY","New York-Newark-Jersey City","Kings County","New York",15,2081,-0.002,-0.0308,-0.003,30277
2020-01-31,"11375","NY","New York-Newark-Jersey City","Queens County","New York",16,2115,0.0046,0.0005,0.0139,43418
2020-01-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",17,2585,-0.0058,-0.0147,-0.0001,15057
2020-01-31,"78130","TX","San Antonio-New Braunfels","Comal County","New Braunfels",18,1385,-0.0018,0.0054,0.0035,30537
2020-01-31,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",19,1374,0.0035,0.0091,0.0205,25017
2020-01-31,"10029","NY","New York-Newark-Jersey City","New York County","New York",20,3150,-0.0108,-0.0149,0.0015,7697
2020-01-31,"10009","NY","New York-Newark-Jersey City","New York County","New York",21,3416,-0.0078,-0.0126,0.0063,7574
2020-01-31,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",22,1359,0.0091,0.0043,-0.0406,32462
2020-01-31,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",23,1739,-0.0185,-0.0437,-0.008,22194
2020-01-31,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",24,1590,0.0098,0.0156,-0.0016,29391
2020-01-31,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",25,2329,0.0018,-0.0087,0.0133,26717
2020-01-31,"10128","NY","New York-Newark-Jersey City","New York County","New York",26,3610,-0.0295,-0.0591,-0.0812,25112
2020-01-31,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",27,1302,-0.0055,0.0078,0.0386,29431
2020-01-31,"78613","TX","Austin-Round Rock","Williamson County","Cedar Park",28,1552,0.0059,0.0046,0.0041,30502
2020-01-31,"77433","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",29,1542,0.0026,0.0012,0.0347,39425
2020-01-31,"78572","TX","McAllen-Edinburg-Mission","Hidalgo County","Mission",30,832,0.005,0.0098,-0.0063,21733
2020-01-31,"30349","GA","Atlanta-Sandy Springs-Roswell","Clayton County","Riverdale",31,1213,0.0063,0.0117,0.0582,30565
2020-01-31,"79912","TX","El Paso","El Paso County","El Paso",32,1176,0.023,0.0161,0.0479,23043
2020-01-31,"75052","TX","Dallas-Fort Worth-Arlington","Dallas County","Grand Prairie",33,1327,-0.0139,0.0161,0.0137,29967
2020-01-31,"94565","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pittsburg",34,2283,-0.0128,-0.0081,0.0275,47500
2020-01-31,"37042","TN","Clarksville","Montgomery County","Clarksville",35,914,0.0032,0.0127,0.035,30442
2020-01-31,"11206","NY","New York-Newark-Jersey City","Kings County","New York",36,2664,-0.0118,0.0252,0.0531,11572
2020-01-31,"73099","OK","Oklahoma City","Canadian County","Yukon",37,1159,-0.0016,0.0006,0.0083,29534
2020-01-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",38,3212,-0.0032,-0.0056,0.0195,12863
2020-01-31,"20009","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",39,2606,-0.0049,-0.0114,0.0188,21041
