,Zip,Permits Issued (2008-2018),City,State,Latitude,Longitude,Zillow Rent Index (ZRI),"$200,000 or more",Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,NAME_x,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,NAME_y,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),NAME_x,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME_y
0,78704.0,44889,Austin,TX,30.246309000000004,-97.76087,1894,1007,31.6,41999.0,37836.0,1413.0,288.0,718.0,0.0,1134.0,50930.0,37301.0,26813.0,1992.0,ZCTA5 78704,6920.0,550.0,142.0,59.0,0.0,291.0,8160.0,3911.0,4249.0,ZCTA5 78704,227.0,2891.0,556.0,1546.0,11110.0,3834.0,1584.0,759.0,ZCTA5 78704,1975.0,865.0,983.0,347500.0,2127.0,ZCTA5 78704
1,78745.0,34643,Austin,TX,30.207559000000003,-97.79575,1551,223,35.3,57559.0,48567.0,2526.0,444.0,794.0,44.0,1725.0,50672.0,27260.0,33459.0,2787.0,ZCTA5 78745,7511.0,524.0,117.0,107.0,18.0,551.0,9737.0,4557.0,5180.0,ZCTA5 78745,298.0,6923.0,1836.0,2426.0,10258.0,3204.0,587.0,359.0,ZCTA5 78745,1979.0,853.0,1020.0,170200.0,1395.0,ZCTA5 78745
2,78748.0,31675,Austin,TX,30.17202,-97.82265,1617,298,32.2,41710.0,35449.0,1872.0,61.0,1482.0,41.0,1253.0,66309.0,31940.0,23986.0,1952.0,ZCTA5 78748,3410.0,341.0,21.0,29.0,0.0,151.0,4177.0,2109.0,2068.0,ZCTA5 78748,134.0,4469.0,801.0,2116.0,8639.0,2750.0,297.0,217.0,ZCTA5 78748,1996.0,942.0,1138.0,187900.0,1624.0,ZCTA5 78748
3,78723.0,29773,Austin,TX,30.306507,-97.68651,1666,178,30.9,31234.0,20679.0,7438.0,269.0,600.0,0.0,892.0,42939.0,22439.0,15145.0,1516.0,ZCTA5 78723,5889.0,2373.0,132.0,65.0,0.0,137.0,8837.0,3863.0,4974.0,ZCTA5 78723,503.0,3116.0,1021.0,785.0,4098.0,1605.0,324.0,315.0,ZCTA5 78723,1973.0,680.0,840.0,178500.0,1449.0,ZCTA5 78723
4,78703.0,28982,Austin,TX,30.290907,-97.76276999999999,2246,2037,36.2,19860.0,17897.0,325.0,153.0,877.0,0.0,446.0,80569.0,66049.0,11415.0,532.0,ZCTA5 78703,1414.0,42.0,33.0,123.0,0.0,0.0,1626.0,828.0,798.0,ZCTA5 78703,25.0,460.0,128.0,223.0,6595.0,3315.0,2016.0,611.0,ZCTA5 78703,1964.0,1086.0,1192.0,641200.0,3285.0,ZCTA5 78703
5,78702.0,28955,Austin,TX,30.265158000000003,-97.71879,1905,84,32.3,21655.0,13869.0,3128.0,223.0,263.0,0.0,592.0,36197.0,19715.0,10254.0,1196.0,ZCTA5 78702,3607.0,1043.0,69.0,57.0,0.0,161.0,6592.0,2884.0,3708.0,ZCTA5 78702,517.0,2516.0,730.0,323.0,3205.0,1002.0,178.0,174.0,ZCTA5 78702,1963.0,606.0,807.0,188000.0,1333.0,ZCTA5 78702
6,78744.0,27871,Austin,TX,30.188377000000003,-97.74038,1496,30,27.8,44375.0,26823.0,3536.0,698.0,186.0,9.0,1079.0,41721.0,16335.0,20906.0,2019.0,ZCTA5 78744,7096.0,792.0,20.0,0.0,0.0,334.0,11938.0,5642.0,6296.0,ZCTA5 78744,1147.0,5452.0,1331.0,1233.0,2478.0,664.0,201.0,35.0,ZCTA5 78744,1988.0,760.0,962.0,106500.0,1243.0,ZCTA5 78744
7,78757.0,27742,Austin,TX,30.349455,-97.73328000000001,1550,316,37.8,22655.0,19264.0,481.0,42.0,637.0,0.0,300.0,57429.0,35045.0,13372.0,695.0,ZCTA5 78757,2257.0,147.0,0.0,93.0,0.0,24.0,3302.0,1591.0,1711.0,ZCTA5 78757,116.0,2178.0,384.0,926.0,5220.0,2528.0,514.0,461.0,ZCTA5 78757,1964.0,747.0,912.0,259400.0,1782.0,ZCTA5 78757
8,78731.0,27494,Austin,TX,30.344305,-97.7638,1856,2160,39.4,25575.0,21972.0,701.0,96.0,2005.0,0.0,555.0,75269.0,56169.0,13700.0,597.0,ZCTA5 78731,1722.0,118.0,0.0,609.0,0.0,60.0,2530.0,997.0,1533.0,ZCTA5 78731,69.0,1020.0,122.0,688.0,7528.0,3747.0,1642.0,1052.0,ZCTA5 78731,1977.0,953.0,1098.0,442300.0,2779.0,ZCTA5 78731
9,78759.0,27343,Austin,TX,30.406169000000002,-97.75743,1828,1602,37.8,39895.0,31357.0,1105.0,55.0,4585.0,0.0,1301.0,66828.0,47979.0,24114.0,1801.0,ZCTA5 78759,1940.0,12.0,0.0,421.0,0.0,63.0,2723.0,1325.0,1398.0,ZCTA5 78759,47.0,2476.0,424.0,1484.0,11325.0,5109.0,1497.0,1299.0,ZCTA5 78759,1985.0,855.0,984.0,312300.0,2075.0,ZCTA5 78759
