Zipcode,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME
78610,1999.0,869.0,1084.0,182400.0,1634.0,ZCTA5 78610
78613,2000.0,956.0,1107.0,198900.0,1799.0,ZCTA5 78613
78617,1999.0,813.0,1105.0,99700.0,1202.0,ZCTA5 78617
78641,2000.0,1041.0,1312.0,156900.0,1576.0,ZCTA5 78641
78652,1985.0,925.0,1113.0,191200.0,1665.0,ZCTA5 78652
78653,2003.0,1011.0,1328.0,141200.0,1528.0,ZCTA5 78653
78660,2001.0,935.0,1153.0,165700.0,1624.0,ZCTA5 78660
78664,1995.0,833.0,1032.0,149600.0,1482.0,ZCTA5 78664
78681,1996.0,922.0,1185.0,213300.0,1883.0,ZCTA5 78681
78701,2002.0,1495.0,1653.0,372000.0,3095.0,ZCTA5 78701
78702,1963.0,606.0,807.0,188000.0,1333.0,ZCTA5 78702
78703,1964.0,1086.0,1192.0,641200.0,3285.0,ZCTA5 78703
78704,1975.0,865.0,983.0,347500.0,2127.0,ZCTA5 78704
78705,1980.0,971.0,1088.0,307200.0,2411.0,ZCTA5 78705
78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,ZCTA5 78712
78717,2002.0,894.0,1023.0,247200.0,2201.0,ZCTA5 78717
78719,1991.0,194.0,439.0,112500.0,1135.0,ZCTA5 78719
78721,1972.0,701.0,899.0,124800.0,1164.0,ZCTA5 78721
78722,1956.0,870.0,974.0,279200.0,1981.0,ZCTA5 78722
78723,1973.0,680.0,840.0,178500.0,1449.0,ZCTA5 78723
78724,1993.0,719.0,947.0,102000.0,1246.0,ZCTA5 78724
78725,2000.0,951.0,1289.0,111800.0,1203.0,ZCTA5 78725
78726,2001.0,872.0,1051.0,344700.0,2506.0,ZCTA5 78726
78727,1992.0,935.0,1117.0,202600.0,1687.0,ZCTA5 78727
78728,1992.0,803.0,940.0,170500.0,1489.0,ZCTA5 78728
78729,1991.0,857.0,1027.0,191300.0,1639.0,ZCTA5 78729
78730,1999.0,987.0,1138.0,580300.0,3191.0,ZCTA5 78730
78731,1977.0,953.0,1098.0,442300.0,2779.0,ZCTA5 78731
78732,2003.0,1419.0,1702.0,389900.0,3059.0,ZCTA5 78732
78733,1992.0,1260.0,1459.0,487900.0,2945.0,ZCTA5 78733
78734,1993.0,1100.0,1300.0,326900.0,2302.0,ZCTA5 78734
78735,1996.0,1026.0,1147.0,373400.0,2685.0,ZCTA5 78735
78736,1987.0,1032.0,1236.0,228900.0,1758.0,ZCTA5 78736
78737,1997.0,1182.0,1232.0,338700.0,2545.0,ZCTA5 78737
78738,2002.0,1185.0,1344.0,460200.0,3200.0,ZCTA5 78738
78739,2000.0,1948.0,2001.0,355900.0,2553.0,ZCTA5 78739
78741,1985.0,699.0,851.0,127500.0,1278.0,ZCTA5 78741
78742,1983.0,437.0,690.0,72100.0,778.0,ZCTA5 78742
78744,1988.0,760.0,962.0,106500.0,1243.0,ZCTA5 78744
78745,1979.0,853.0,1020.0,170200.0,1395.0,ZCTA5 78745
78746,1986.0,1132.0,1225.0,634000.0,3407.0,ZCTA5 78746
78747,2002.0,908.0,1104.0,167800.0,1471.0,ZCTA5 78747
78748,1996.0,942.0,1138.0,187900.0,1624.0,ZCTA5 78748
78749,1994.0,1008.0,1178.0,237800.0,1828.0,ZCTA5 78749
78750,1986.0,883.0,1063.0,306900.0,2040.0,ZCTA5 78750
78751,1966.0,777.0,876.0,297200.0,2104.0,ZCTA5 78751
78752,1976.0,664.0,805.0,163900.0,1368.0,ZCTA5 78752
78753,1985.0,690.0,852.0,135700.0,1323.0,ZCTA5 78753
78754,2001.0,848.0,997.0,163000.0,1570.0,ZCTA5 78754
78756,1960.0,812.0,894.0,364400.0,2409.0,ZCTA5 78756
78757,1964.0,747.0,912.0,259400.0,1782.0,ZCTA5 78757
78758,1983.0,744.0,918.0,146100.0,1330.0,ZCTA5 78758
78759,1985.0,855.0,984.0,312300.0,2075.0,ZCTA5 78759
