Zipcode,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME,Year
78610,2002.0,868.0,1058.0,208400.0,1649.0,ZCTA5 78610,2016
78613,2001.0,1074.0,1229.0,235700.0,1856.0,ZCTA5 78613,2016
78617,2000.0,771.0,1061.0,115600.0,1249.0,ZCTA5 78617,2016
78641,2002.0,1100.0,1368.0,186100.0,1603.0,ZCTA5 78641,2016
78652,1988.0,1000.0,1136.0,216500.0,1550.0,ZCTA5 78652,2016
78653,2003.0,1051.0,1251.0,152600.0,1384.0,ZCTA5 78653,2016
78660,2001.0,1024.0,1209.0,180800.0,1593.0,ZCTA5 78660,2016
78664,1995.0,935.0,1111.0,161100.0,1409.0,ZCTA5 78664,2016
78681,1997.0,962.0,1136.0,239400.0,1888.0,ZCTA5 78681,2016
78701,2003.0,1658.0,1734.0,447100.0,3147.0,ZCTA5 78701,2016
78702,1968.0,782.0,990.0,251000.0,1628.0,ZCTA5 78702,2016
78703,1966.0,1230.0,1362.0,735000.0,3444.0,ZCTA5 78703,2016
78704,1977.0,1038.0,1167.0,421800.0,2296.0,ZCTA5 78704,2016
78705,1985.0,1035.0,1140.0,432800.0,3076.0,ZCTA5 78705,2016
78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,ZCTA5 78712,2016
78717,2003.0,1053.0,1188.0,286400.0,2154.0,ZCTA5 78717,2016
78719,1985.0,672.0,848.0,121200.0,1193.0,ZCTA5 78719,2016
78721,1972.0,755.0,970.0,178100.0,1268.0,ZCTA5 78721,2016
78722,1954.0,1027.0,1170.0,313300.0,1916.0,ZCTA5 78722,2016
78723,1975.0,757.0,889.0,231300.0,1641.0,ZCTA5 78723,2016
78724,1996.0,825.0,1038.0,111500.0,1226.0,ZCTA5 78724,2016
78725,2001.0,979.0,1307.0,123300.0,1241.0,ZCTA5 78725,2016
78726,2000.0,908.0,1092.0,378200.0,2418.0,ZCTA5 78726,2016
78727,1992.0,1011.0,1192.0,226300.0,1672.0,ZCTA5 78727,2016
78728,1993.0,904.0,1046.0,188100.0,1553.0,ZCTA5 78728,2016
78729,1991.0,931.0,1100.0,218600.0,1638.0,ZCTA5 78729,2016
78730,1999.0,1083.0,1219.0,641200.0,3727.0,ZCTA5 78730,2016
78731,1978.0,1038.0,1186.0,509600.0,2879.0,ZCTA5 78731,2016
78732,2004.0,1359.0,1489.0,484100.0,3241.0,ZCTA5 78732,2016
78733,1994.0,1434.0,1608.0,528100.0,3084.0,ZCTA5 78733,2016
78734,1992.0,1292.0,1495.0,352300.0,2221.0,ZCTA5 78734,2016
78735,1998.0,1178.0,1304.0,426500.0,2653.0,ZCTA5 78735,2016
78736,1988.0,1110.0,1219.0,290200.0,2087.0,ZCTA5 78736,2016
78737,2001.0,1634.0,2023.0,370800.0,2558.0,ZCTA5 78737,2016
78738,2004.0,1267.0,1407.0,486000.0,3038.0,ZCTA5 78738,2016
78739,2000.0,2243.0,2316.0,394600.0,2519.0,ZCTA5 78739,2016
78741,1986.0,815.0,951.0,141300.0,1231.0,ZCTA5 78741,2016
78742,1978.0,757.0,963.0,80600.0,917.0,ZCTA5 78742,2016
78744,1989.0,848.0,1067.0,111400.0,1180.0,ZCTA5 78744,2016
78745,1979.0,961.0,1140.0,204500.0,1468.0,ZCTA5 78745,2016
78746,1986.0,1299.0,1449.0,749000.0,3560.0,ZCTA5 78746,2016
78747,2002.0,1057.0,1309.0,177600.0,1435.0,ZCTA5 78747,2016
78748,1997.0,1067.0,1240.0,221000.0,1589.0,ZCTA5 78748,2016
78749,1994.0,1162.0,1307.0,275600.0,1837.0,ZCTA5 78749,2016
78750,1987.0,1002.0,1222.0,330500.0,2030.0,ZCTA5 78750,2016
78751,1964.0,961.0,1087.0,366100.0,2195.0,ZCTA5 78751,2016
78752,1978.0,735.0,892.0,202800.0,1532.0,ZCTA5 78752,2016
78753,1985.0,783.0,933.0,150700.0,1356.0,ZCTA5 78753,2016
78754,2001.0,907.0,1121.0,169300.0,1545.0,ZCTA5 78754,2016
78756,1964.0,1030.0,1157.0,454300.0,2452.0,ZCTA5 78756,2016
78757,1965.0,892.0,1082.0,321200.0,1858.0,ZCTA5 78757,2016
78758,1983.0,842.0,998.0,159600.0,1304.0,ZCTA5 78758,2016
78759,1985.0,991.0,1150.0,367600.0,2209.0,ZCTA5 78759,2016
