Zipcode,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,NAME,Year
78610,34.7,24313.0,20457.0,557.0,79.0,189.0,13.0,406.0,83536.0,31452.0,12154.0,946.0,ZCTA5 78610,2012
78613,34.5,65178.0,52201.0,3257.0,153.0,4559.0,27.0,1947.0,80694.0,33747.0,32358.0,2530.0,ZCTA5 78613,2012
78617,30.4,19553.0,12098.0,1826.0,388.0,223.0,0.0,594.0,43957.0,15559.0,7747.0,1377.0,ZCTA5 78617,2012
78641,32.8,47490.0,41339.0,1759.0,80.0,890.0,0.0,1158.0,64442.0,27830.0,23422.0,1761.0,ZCTA5 78641,2012
78652,39.0,4687.0,4113.0,189.0,0.0,62.0,0.0,123.0,77985.0,35796.0,2673.0,169.0,ZCTA5 78652,2012
78653,30.0,15783.0,8529.0,3599.0,175.0,168.0,0.0,512.0,55398.0,21585.0,7262.0,545.0,ZCTA5 78653,2012
78660,32.3,70407.0,47006.0,10518.0,301.0,6801.0,0.0,1646.0,71507.0,27540.0,35285.0,2931.0,ZCTA5 78660,2012
78664,30.6,54864.0,41775.0,6693.0,245.0,2096.0,17.0,2196.0,60442.0,26551.0,27776.0,2537.0,ZCTA5 78664,2012
78681,34.2,53229.0,42930.0,2271.0,473.0,3985.0,11.0,2320.0,92981.0,33603.0,26653.0,1777.0,ZCTA5 78681,2012
78701,33.8,5642.0,4596.0,326.0,0.0,452.0,0.0,135.0,68152.0,76811.0,3534.0,347.0,ZCTA5 78701,2012
78702,32.1,21032.0,12977.0,3236.0,219.0,359.0,0.0,474.0,34734.0,18843.0,9594.0,1198.0,ZCTA5 78702,2012
78703,36.4,19873.0,17849.0,375.0,202.0,940.0,0.0,376.0,92606.0,65368.0,11228.0,438.0,ZCTA5 78703,2012
78704,31.4,41709.0,36458.0,1450.0,311.0,694.0,21.0,930.0,50248.0,36500.0,26160.0,1933.0,ZCTA5 78704,2012
78705,20.8,30532.0,23032.0,929.0,69.0,4756.0,2.0,756.0,11917.0,10617.0,11494.0,1941.0,ZCTA5 78705,2012
78712,19.5,554.0,426.0,0.0,0.0,55.0,0.0,0.0,-666666666.0,1508.0,74.0,19.0,ZCTA5 78712,2012
78717,33.9,23514.0,16829.0,1026.0,0.0,4254.0,12.0,671.0,93305.0,38702.0,12680.0,702.0,ZCTA5 78717,2012
78719,38.3,1717.0,1181.0,48.0,10.0,0.0,0.0,12.0,39500.0,21788.0,639.0,114.0,ZCTA5 78719,2012
78721,31.2,11178.0,4880.0,3882.0,232.0,77.0,12.0,346.0,32131.0,15281.0,4095.0,768.0,ZCTA5 78721,2012
78722,33.1,5973.0,4548.0,808.0,53.0,159.0,0.0,181.0,44917.0,33293.0,3833.0,323.0,ZCTA5 78722,2012
78723,30.3,30999.0,20338.0,7410.0,231.0,553.0,0.0,730.0,41869.0,20893.0,14665.0,1594.0,ZCTA5 78723,2012
78724,26.4,21677.0,11485.0,6472.0,27.0,14.0,0.0,1003.0,35711.0,12365.0,8451.0,719.0,ZCTA5 78724,2012
78725,31.9,6477.0,2877.0,2281.0,0.0,9.0,0.0,354.0,52313.0,19742.0,3498.0,330.0,ZCTA5 78725,2012
78726,29.5,12482.0,9781.0,458.0,75.0,1470.0,0.0,128.0,66096.0,40197.0,7659.0,311.0,ZCTA5 78726,2012
78727,32.8,28461.0,20120.0,2321.0,157.0,4073.0,0.0,697.0,65687.0,35795.0,17648.0,1048.0,ZCTA5 78727,2012
78728,30.6,20939.0,14238.0,2867.0,282.0,1911.0,131.0,701.0,47405.0,28402.0,12455.0,729.0,ZCTA5 78728,2012
78729,32.4,28228.0,21254.0,2880.0,15.0,2757.0,0.0,970.0,57358.0,33090.0,16928.0,1213.0,ZCTA5 78729,2012
78730,38.2,8312.0,7121.0,16.0,0.0,738.0,93.0,214.0,119573.0,68632.0,4544.0,163.0,ZCTA5 78730,2012
78731,39.8,24716.0,21189.0,534.0,98.0,2169.0,34.0,417.0,78265.0,57182.0,13295.0,532.0,ZCTA5 78731,2012
78732,35.5,14307.0,11821.0,257.0,76.0,1393.0,0.0,381.0,127726.0,50114.0,6314.0,336.0,ZCTA5 78732,2012
78733,39.7,9486.0,8280.0,0.0,0.0,938.0,0.0,216.0,124831.0,58117.0,4207.0,182.0,ZCTA5 78733,2012
78734,43.2,17824.0,15955.0,30.0,40.0,513.0,0.0,127.0,82904.0,46008.0,8570.0,647.0,ZCTA5 78734,2012
78735,35.1,16882.0,14522.0,167.0,7.0,999.0,7.0,462.0,74571.0,55802.0,8362.0,334.0,ZCTA5 78735,2012
78736,44.4,6841.0,5957.0,13.0,0.0,420.0,0.0,215.0,84375.0,39407.0,3738.0,245.0,ZCTA5 78736,2012
78737,39.3,12882.0,11519.0,157.0,100.0,511.0,0.0,134.0,116250.0,46334.0,6347.0,278.0,ZCTA5 78737,2012
78738,39.4,12457.0,11134.0,41.0,16.0,956.0,0.0,240.0,126233.0,54528.0,5514.0,337.0,ZCTA5 78738,2012
78739,35.6,16911.0,14187.0,197.0,131.0,1208.0,0.0,766.0,126525.0,48456.0,7784.0,298.0,ZCTA5 78739,2012
78741,25.5,48246.0,25204.0,4658.0,273.0,2241.0,140.0,1472.0,30183.0,16270.0,27326.0,2736.0,ZCTA5 78741,2012
78742,32.4,901.0,471.0,27.0,0.0,0.0,0.0,6.0,34076.0,15768.0,362.0,43.0,ZCTA5 78742,2012
78744,27.6,43452.0,22304.0,3459.0,536.0,176.0,18.0,1192.0,41056.0,15903.0,20607.0,2141.0,ZCTA5 78744,2012
78745,34.8,54917.0,45698.0,2209.0,404.0,830.0,31.0,1497.0,49243.0,27671.0,32715.0,2622.0,ZCTA5 78745,2012
78746,41.5,26939.0,23716.0,181.0,29.0,1972.0,0.0,703.0,125327.0,77355.0,13107.0,598.0,ZCTA5 78746,2012
78747,33.1,14158.0,9101.0,847.0,634.0,734.0,0.0,360.0,57904.0,27794.0,7193.0,591.0,ZCTA5 78747,2012
