Zipcode,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,NAME,Year
78732,318.0,0.0,0.0,0.0,0.0,0.0,318.0,114.0,204.0,ZCTA5 78732,2017
78712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZCTA5 78712,2017
78705,8246.0,397.0,66.0,3426.0,0.0,531.0,12903.0,6801.0,6102.0,ZCTA5 78705,2017
78759,1590.0,213.0,0.0,199.0,0.0,154.0,2238.0,1212.0,1026.0,ZCTA5 78759,2017
78702,3329.0,1433.0,0.0,97.0,0.0,203.0,5207.0,2332.0,2875.0,ZCTA5 78702,2017
78745,6456.0,480.0,31.0,207.0,10.0,287.0,7695.0,3528.0,4167.0,ZCTA5 78745,2017
78717,636.0,30.0,15.0,282.0,0.0,92.0,1055.0,377.0,678.0,ZCTA5 78717,2017
78737,310.0,2.0,0.0,8.0,0.0,9.0,329.0,160.0,169.0,ZCTA5 78737,2017
78747,894.0,8.0,11.0,0.0,0.0,34.0,1050.0,602.0,448.0,ZCTA5 78747,2017
78749,1547.0,72.0,0.0,134.0,0.0,39.0,1802.0,766.0,1036.0,ZCTA5 78749,2017
78757,2189.0,67.0,0.0,191.0,0.0,124.0,3559.0,1726.0,1833.0,ZCTA5 78757,2017
78641,3348.0,269.0,0.0,68.0,0.0,160.0,3892.0,1688.0,2204.0,ZCTA5 78641,2017
78738,375.0,1.0,0.0,251.0,0.0,60.0,687.0,402.0,285.0,ZCTA5 78738,2017
78653,1871.0,608.0,0.0,46.0,0.0,14.0,2839.0,1323.0,1516.0,ZCTA5 78653,2017
78729,1251.0,312.0,0.0,147.0,0.0,81.0,1899.0,973.0,926.0,ZCTA5 78729,2017
78719,248.0,12.0,0.0,0.0,0.0,0.0,299.0,126.0,173.0,ZCTA5 78719,2017
78723,4370.0,1957.0,11.0,137.0,0.0,112.0,7660.0,3271.0,4389.0,ZCTA5 78723,2017
78724,3814.0,958.0,93.0,0.0,12.0,155.0,6332.0,3089.0,3243.0,ZCTA5 78724,2017
78727,1214.0,116.0,0.0,177.0,0.0,79.0,1788.0,715.0,1073.0,ZCTA5 78727,2017
78730,159.0,0.0,0.0,0.0,0.0,0.0,159.0,24.0,135.0,ZCTA5 78730,2017
78733,140.0,0.0,0.0,4.0,0.0,0.0,155.0,58.0,97.0,ZCTA5 78733,2017
78751,2086.0,124.0,24.0,270.0,17.0,80.0,2906.0,1224.0,1682.0,ZCTA5 78751,2017
78610,2100.0,36.0,0.0,48.0,18.0,17.0,2412.0,946.0,1466.0,ZCTA5 78610,2017
78701,816.0,117.0,21.0,24.0,0.0,24.0,1038.0,649.0,389.0,ZCTA5 78701,2017
78735,1478.0,47.0,0.0,45.0,0.0,0.0,1580.0,791.0,789.0,ZCTA5 78735,2017
78752,3267.0,393.0,140.0,175.0,0.0,135.0,5254.0,2688.0,2566.0,ZCTA5 78752,2017
78758,4961.0,739.0,64.0,399.0,0.0,210.0,9224.0,4068.0,5156.0,ZCTA5 78758,2017
78617,2965.0,184.0,14.0,107.0,0.0,61.0,4815.0,2194.0,2621.0,ZCTA5 78617,2017
78722,449.0,75.0,0.0,9.0,29.0,149.0,711.0,203.0,508.0,ZCTA5 78722,2017
78664,4440.0,957.0,48.0,321.0,0.0,402.0,6366.0,2714.0,3652.0,ZCTA5 78664,2017
78660,4159.0,1146.0,0.0,382.0,0.0,104.0,6165.0,2327.0,3838.0,ZCTA5 78660,2017
78703,1054.0,1.0,4.0,294.0,0.0,0.0,1355.0,754.0,601.0,ZCTA5 78703,2017
78721,1874.0,1251.0,4.0,54.0,0.0,8.0,3425.0,1365.0,2060.0,ZCTA5 78721,2017
