Zipcode,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),Year
78732,51.0,550.0,70.0,533.0,5156.0,1941.0,575.0,429.0,2017
78712,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2017
78705,76.0,363.0,66.0,232.0,2923.0,1143.0,206.0,392.0,2017
78759,145.0,2582.0,384.0,1619.0,11782.0,6529.0,1285.0,1691.0,2017
78702,566.0,2700.0,763.0,559.0,4272.0,1649.0,458.0,198.0,2017
78745,559.0,6855.0,2019.0,2814.0,12637.0,4364.0,749.0,630.0,2017
78717,57.0,1552.0,422.0,1166.0,6750.0,3106.0,633.0,478.0,2017
78737,52.0,1051.0,154.0,830.0,4143.0,1831.0,205.0,325.0,2017
78747,352.0,3030.0,504.0,618.0,2935.0,878.0,112.0,162.0,2017
78749,94.0,2370.0,340.0,1334.0,11449.0,4629.0,909.0,778.0,2017
78757,213.0,2459.0,285.0,1037.0,6364.0,2561.0,619.0,538.0,2017
78641,532.0,6255.0,1154.0,3707.0,9855.0,3348.0,517.0,415.0,2017
78738,18.0,977.0,43.0,563.0,4894.0,1822.0,411.0,242.0,2017
78653,203.0,2891.0,787.0,940.0,2507.0,522.0,38.0,153.0,2017
78729,23.0,2547.0,552.0,1661.0,7046.0,2624.0,458.0,350.0,2017
78719,39.0,366.0,66.0,39.0,74.0,17.0,5.0,14.0,2017
78723,512.0,3968.0,851.0,1089.0,5522.0,2510.0,510.0,397.0,2017
78724,305.0,3067.0,665.0,614.0,1109.0,499.0,35.0,94.0,2017
78727,158.0,2369.0,523.0,1301.0,8341.0,3015.0,524.0,450.0,2017
78730,15.0,325.0,16.0,287.0,2810.0,1285.0,511.0,249.0,2017
78733,4.0,338.0,31.0,275.0,2224.0,980.0,575.0,343.0,2017
78751,67.0,892.0,163.0,394.0,4728.0,2040.0,517.0,540.0,2017
78610,149.0,3873.0,1087.0,1549.0,5332.0,1872.0,208.0,260.0,2017
78701,135.0,447.0,52.0,306.0,2994.0,1327.0,520.0,346.0,2017
78735,73.0,1220.0,91.0,431.0,4832.0,2441.0,582.0,414.0,2017
78752,405.0,2973.0,191.0,344.0,3172.0,889.0,411.0,129.0,2017
78758,598.0,6743.0,916.0,1969.0,8308.0,2220.0,365.0,554.0,2017
78617,630.0,4102.0,773.0,628.0,1305.0,329.0,92.0,21.0,2017
78722,28.0,540.0,131.0,217.0,2473.0,1028.0,226.0,143.0,2017
78664,614.0,7332.0,1261.0,3374.0,8370.0,3104.0,389.0,292.0,2017
78660,810.0,10098.0,1859.0,5684.0,14758.0,4929.0,707.0,247.0,2017
78703,60.0,358.0,72.0,285.0,6615.0,3929.0,1900.0,657.0,2017
78721,413.0,1863.0,503.0,309.0,1483.0,445.0,91.0,51.0,2017
78726,110.0,724.0,30.0,394.0,3859.0,1895.0,206.0,218.0,2017
78728,188.0,3053.0,313.0,1071.0,4942.0,1376.0,166.0,154.0,2017
78736,0.0,658.0,142.0,407.0,2238.0,772.0,128.0,72.0,2017
78750,184.0,2411.0,374.0,1478.0,7280.0,3767.0,730.0,682.0,2017
78753,1152.0,9552.0,1642.0,1971.0,5319.0,1541.0,296.0,220.0,2017
78652,93.0,931.0,50.0,186.0,1115.0,297.0,118.0,99.0,2017
78681,454.0,3858.0,1174.0,2932.0,12591.0,4644.0,717.0,535.0,2017
78704,235.0,2760.0,714.0,1728.0,15017.0,5045.0,1755.0,1028.0,2017
78725,126.0,1444.0,274.0,208.0,493.0,264.0,56.0,13.0,2017
78739,18.0,766.0,54.0,634.0,5977.0,2508.0,552.0,586.0,2017
78742,27.0,72.0,5.0,61.0,57.0,10.0,4.0,0.0,2017
78744,1372.0,6906.0,1247.0,1634.0,3758.0,920.0,154.0,60.0,2017
78748,333.0,5223.0,1071.0,2246.0,10642.0,4367.0,458.0,289.0,2017
78756,21.0,511.0,152.0,156.0,2796.0,1472.0,310.0,428.0,2017
78731,100.0,895.0,169.0,710.0,8051.0,4692.0,1670.0,1134.0,2017
78734,7.0,1538.0,202.0,628.0,5152.0,1997.0,333.0,342.0,2017
78741,969.0,5324.0,1368.0,2064.0,6501.0,2018.0,401.0,400.0,2017
78746,37.0,748.0,167.0,690.0,8693.0,4168.0,2294.0,956.0,2017
78754,302.0,2931.0,415.0,1551.0,3780.0,1703.0,333.0,187.0,2017
78613,206.0,6018.0,1550.0,4166.0,15978.0,6255.0,823.0,406.0,2017
