Zipcode,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,Year
78610,1995.0,961.0,1247.0,182900.0,1663.0,2011
78613,1999.0,904.0,1064.0,192700.0,1837.0,2011
78617,1998.0,721.0,1072.0,102900.0,1291.0,2011
78641,2000.0,973.0,1173.0,157000.0,1585.0,2011
78652,1981.0,897.0,1134.0,191200.0,1664.0,2011
78653,2003.0,978.0,1304.0,143500.0,1488.0,2011
78660,2000.0,914.0,1143.0,163000.0,1661.0,2011
78664,1995.0,792.0,1006.0,147600.0,1524.0,2011
78681,1996.0,928.0,1167.0,210300.0,1856.0,2011
78701,2000.0,1396.0,1522.0,317100.0,2503.0,2011
78702,1957.0,545.0,695.0,167500.0,1319.0,2011
78703,1958.0,965.0,1093.0,593800.0,3273.0,2011
78704,1974.0,768.0,895.0,330100.0,2074.0,2011
78705,1977.0,891.0,1001.0,300000.0,2213.0,2011
78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2011
78717,2002.0,846.0,977.0,245700.0,2218.0,2011
78719,1992.0,875.0,1188.0,105900.0,1119.0,2011
78721,1971.0,640.0,830.0,121700.0,1128.0,2011
78722,1954.0,737.0,887.0,251200.0,1917.0,2011
78723,1971.0,654.0,815.0,168300.0,1400.0,2011
78724,1993.0,694.0,939.0,106300.0,1186.0,2011
78725,2000.0,1010.0,1197.0,112900.0,1200.0,2011
78726,2001.0,863.0,1037.0,348100.0,2565.0,2011
78727,1993.0,853.0,989.0,197300.0,1615.0,2011
78728,1993.0,752.0,887.0,167200.0,1511.0,2011
78729,1990.0,853.0,1012.0,187300.0,1616.0,2011
78730,1998.0,962.0,1101.0,579300.0,3325.0,2011
78731,1977.0,861.0,969.0,429700.0,2618.0,2011
78732,2003.0,1513.0,1573.0,375300.0,2924.0,2011
78733,1992.0,1266.0,1521.0,439800.0,2774.0,2011
78734,1991.0,1024.0,1297.0,322500.0,2198.0,2011
78735,1996.0,955.0,1107.0,375100.0,2738.0,2011
78736,1986.0,888.0,1023.0,212600.0,1690.0,2011
78737,1995.0,958.0,1139.0,325000.0,2448.0,2011
78738,2002.0,1172.0,1281.0,459300.0,3061.0,2011
78739,2000.0,1889.0,2001.0,349000.0,2589.0,2011
78741,1984.0,670.0,811.0,117000.0,1208.0,2011
78742,1981.0,336.0,669.0,44200.0,756.0,2011
78744,1987.0,709.0,898.0,108800.0,1259.0,2011
78745,1979.0,796.0,958.0,159800.0,1369.0,2011
78746,1986.0,1070.0,1205.0,610800.0,3401.0,2011
78747,2001.0,849.0,1048.0,170700.0,1483.0,2011
78748,1994.0,888.0,1086.0,181800.0,1617.0,2011
78749,1994.0,939.0,1093.0,229900.0,1756.0,2011
78750,1985.0,808.0,989.0,295300.0,2079.0,2011
78751,1970.0,739.0,829.0,300300.0,2033.0,2011
78752,1973.0,633.0,744.0,148900.0,1354.0,2011
78753,1984.0,649.0,795.0,134000.0,1348.0,2011
78754,2001.0,774.0,925.0,164300.0,1566.0,2011
78756,1959.0,759.0,883.0,330600.0,2081.0,2011
78757,1964.0,734.0,878.0,238300.0,1765.0,2011
78758,1983.0,711.0,875.0,140700.0,1317.0,2011
78759,1985.0,804.0,938.0,302300.0,2087.0,2011
