Zipcode,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME,Year
78610,1997.0,864.0,1053.0,183600.0,1692.0,ZCTA5 78610,2012
78613,2000.0,942.0,1092.0,194700.0,1817.0,ZCTA5 78613,2012
78617,1998.0,699.0,1041.0,100600.0,1242.0,ZCTA5 78617,2012
78641,2000.0,986.0,1267.0,155400.0,1578.0,ZCTA5 78641,2012
78652,1983.0,938.0,1131.0,194700.0,1682.0,ZCTA5 78652,2012
78653,2003.0,1001.0,1333.0,141300.0,1527.0,ZCTA5 78653,2012
78660,2001.0,917.0,1128.0,163900.0,1619.0,ZCTA5 78660,2012
78664,1995.0,817.0,1033.0,147600.0,1503.0,ZCTA5 78664,2012
78681,1996.0,944.0,1204.0,213000.0,1887.0,ZCTA5 78681,2012
78701,2000.0,1433.0,1590.0,338300.0,2633.0,ZCTA5 78701,2012
78702,1960.0,584.0,766.0,175400.0,1337.0,ZCTA5 78702,2012
78703,1961.0,1059.0,1183.0,621900.0,3230.0,ZCTA5 78703,2012
78704,1974.0,814.0,940.0,338200.0,2112.0,ZCTA5 78704,2012
78705,1979.0,971.0,1088.0,292500.0,2207.0,ZCTA5 78705,2012
78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,ZCTA5 78712,2012
78717,2002.0,872.0,1018.0,243200.0,2215.0,ZCTA5 78717,2012
78719,1993.0,303.0,442.0,111000.0,1239.0,ZCTA5 78719,2012
78721,1970.0,668.0,870.0,121000.0,1119.0,ZCTA5 78721,2012
78722,1955.0,814.0,930.0,265100.0,1961.0,ZCTA5 78722,2012
78723,1971.0,666.0,817.0,176500.0,1408.0,ZCTA5 78723,2012
78724,1990.0,711.0,962.0,105700.0,1230.0,ZCTA5 78724,2012
78725,1999.0,951.0,1189.0,114400.0,1185.0,ZCTA5 78725,2012
78726,2001.0,870.0,1050.0,349900.0,2438.0,ZCTA5 78726,2012
78727,1992.0,891.0,1050.0,198500.0,1662.0,ZCTA5 78727,2012
78728,1992.0,767.0,901.0,168600.0,1491.0,ZCTA5 78728,2012
78729,1990.0,857.0,1008.0,192300.0,1646.0,ZCTA5 78729,2012
78730,1998.0,973.0,1106.0,570400.0,3184.0,ZCTA5 78730,2012
78731,1977.0,895.0,1016.0,436800.0,2635.0,ZCTA5 78731,2012
78732,2003.0,1431.0,1688.0,388600.0,3006.0,ZCTA5 78732,2012
78733,1992.0,1268.0,1496.0,467700.0,2775.0,ZCTA5 78733,2012
78734,1992.0,1086.0,1311.0,321700.0,2303.0,ZCTA5 78734,2012
78735,1996.0,968.0,1122.0,379900.0,2791.0,ZCTA5 78735,2012
78736,1987.0,990.0,1146.0,215500.0,1719.0,ZCTA5 78736,2012
78737,1995.0,1136.0,1185.0,324500.0,2478.0,ZCTA5 78737,2012
78738,2002.0,1183.0,1341.0,466700.0,3246.0,ZCTA5 78738,2012
78739,2000.0,2001.0,2001.0,350500.0,2568.0,ZCTA5 78739,2012
78741,1984.0,682.0,835.0,120200.0,1255.0,ZCTA5 78741,2012
78742,1980.0,346.0,639.0,54400.0,772.0,ZCTA5 78742,2012
78744,1987.0,729.0,946.0,108100.0,1263.0,ZCTA5 78744,2012
78745,1980.0,832.0,990.0,166200.0,1378.0,ZCTA5 78745,2012
78746,1986.0,1117.0,1221.0,619900.0,3334.0,ZCTA5 78746,2012
78747,2002.0,881.0,1061.0,163000.0,1457.0,ZCTA5 78747,2012
78748,1995.0,902.0,1095.0,185500.0,1612.0,ZCTA5 78748,2012
78749,1994.0,984.0,1150.0,233900.0,1797.0,ZCTA5 78749,2012
78750,1985.0,854.0,1012.0,303100.0,2030.0,ZCTA5 78750,2012
78751,1969.0,757.0,865.0,292200.0,1978.0,ZCTA5 78751,2012
78752,1975.0,634.0,752.0,153000.0,1349.0,ZCTA5 78752,2012
78753,1985.0,674.0,826.0,134900.0,1344.0,ZCTA5 78753,2012
78754,2001.0,828.0,969.0,167600.0,1584.0,ZCTA5 78754,2012
78756,1958.0,804.0,888.0,342300.0,2118.0,ZCTA5 78756,2012
78757,1964.0,742.0,895.0,253300.0,1780.0,ZCTA5 78757,2012
78758,1983.0,725.0,898.0,144200.0,1333.0,ZCTA5 78758,2012
78759,1985.0,828.0,962.0,307800.0,2080.0,ZCTA5 78759,2012
