,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,Zipcode
5187,2001.0,835.0,1038.0,191900.0,1618.0,78610
5190,2001.0,1002.0,1141.0,221700.0,1813.0,78613
5194,2000.0,805.0,1085.0,104200.0,1194.0,78617
5214,2001.0,1037.0,1313.0,171600.0,1547.0,78641
5221,1986.0,978.0,1218.0,196700.0,1540.0,78652
5222,2003.0,970.0,1191.0,145000.0,1441.0,78653
5228,2001.0,951.0,1139.0,172900.0,1574.0,78660
5232,1995.0,870.0,1056.0,157300.0,1407.0,78664
5242,1997.0,912.0,1113.0,230100.0,1898.0,78681
5243,2002.0,1678.0,1752.0,440100.0,3057.0,78701
5244,1965.0,694.0,893.0,235400.0,1521.0,78702
5245,1965.0,1167.0,1266.0,704700.0,3365.0,78703
5246,1976.0,965.0,1088.0,385700.0,2187.0,78704
5247,1982.0,993.0,1108.0,385600.0,2868.0,78705
5248,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,78712
5249,2003.0,974.0,1103.0,273200.0,2206.0,78717
5250,1985.0,525.0,817.0,113300.0,1156.0,78719
5251,1971.0,710.0,920.0,156800.0,1240.0,78721
5252,1956.0,953.0,1081.0,293000.0,1964.0,78722
5253,1974.0,698.0,856.0,207600.0,1572.0,78723
5254,1997.0,747.0,946.0,109100.0,1237.0,78724
5255,2001.0,973.0,1291.0,121100.0,1232.0,78725
5256,2001.0,887.0,1059.0,358100.0,2355.0,78726
5257,1992.0,970.0,1160.0,215500.0,1635.0,78727
5258,1993.0,862.0,991.0,182300.0,1505.0,78728
5259,1991.0,879.0,1057.0,205600.0,1618.0,78729
5260,1998.0,1011.0,1187.0,576100.0,3247.0,78730
5261,1977.0,1013.0,1150.0,476400.0,2839.0,78731
5262,2004.0,1327.0,1393.0,467300.0,3226.0,78732
5263,1994.0,1403.0,1653.0,497900.0,3037.0,78733
5264,1992.0,1269.0,1564.0,340800.0,2222.0,78734
5265,1998.0,1122.0,1240.0,410400.0,2628.0,78735
5266,1988.0,1131.0,1373.0,266100.0,1833.0,78736
5267,1999.0,1520.0,1579.0,350900.0,2553.0,78737
5268,2003.0,1240.0,1402.0,469200.0,3106.0,78738
5269,2000.0,2170.0,2282.0,381400.0,2510.0,78739
5270,1986.0,753.0,901.0,139000.0,1312.0,78741
5271,1976.0,735.0,911.0,76400.0,980.0,78742
5272,1989.0,804.0,1012.0,106000.0,1206.0,78744
5273,1979.0,913.0,1092.0,183900.0,1425.0,78745
5274,1987.0,1250.0,1421.0,713400.0,3506.0,78746
5275,2002.0,970.0,1180.0,169400.0,1420.0,78747
5276,1996.0,1008.0,1198.0,205800.0,1572.0,78748
5277,1994.0,1137.0,1284.0,257400.0,1835.0,78749
5278,1986.0,946.0,1151.0,322700.0,1976.0,78750
5279,1966.0,861.0,963.0,322900.0,2086.0,78751
5280,1977.0,697.0,852.0,187400.0,1445.0,78752
5281,1985.0,728.0,893.0,142700.0,1331.0,78753
5282,2001.0,886.0,1055.0,159300.0,1526.0,78754
5283,1963.0,879.0,1023.0,395600.0,2494.0,78756
5284,1964.0,852.0,1020.0,302500.0,1827.0,78757
5285,1982.0,797.0,962.0,151200.0,1299.0,78758
5286,1985.0,931.0,1081.0,341200.0,2179.0,78759
