,Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,Zipcode
20413,34.7,30452.0,26023.0,1220.0,56.0,471.0,125.0,885.0,75453.0,30388.0,15418.0,983.0,78610
20416,34.6,75279.0,61783.0,2712.0,311.0,6427.0,19.0,2920.0,91033.0,35957.0,37399.0,1782.0,78613
20420,30.0,26126.0,15979.0,2855.0,332.0,343.0,0.0,735.0,47551.0,16737.0,10446.0,898.0,78617
20440,34.8,55933.0,48572.0,1979.0,239.0,1204.0,0.0,2347.0,83526.0,33138.0,28321.0,1594.0,78641
20447,40.1,4919.0,4395.0,119.0,92.0,65.0,12.0,71.0,78594.0,34131.0,2647.0,52.0,78652
20448,32.8,19328.0,11405.0,4613.0,131.0,201.0,0.0,957.0,60880.0,22020.0,8814.0,904.0,78653
20454,33.8,81698.0,55090.0,13325.0,559.0,7929.0,119.0,2901.0,78145.0,31515.0,44369.0,2346.0,78660
20458,32.8,60884.0,45617.0,7329.0,121.0,2753.0,11.0,2901.0,63923.0,27792.0,32221.0,1933.0,78664
20468,35.7,56086.0,44715.0,3175.0,94.0,4532.0,0.0,2402.0,98444.0,36096.0,28015.0,1917.0,78681
20469,36.5,7401.0,6192.0,227.0,17.0,624.0,17.0,233.0,102112.0,105058.0,5382.0,138.0,78701
20470,33.5,22617.0,16413.0,3034.0,46.0,415.0,0.0,888.0,48174.0,27624.0,12152.0,842.0,78702
20471,36.4,20815.0,18414.0,254.0,57.0,1482.0,0.0,375.0,92746.0,77733.0,12551.0,394.0,78703
20472,32.2,46474.0,41970.0,1233.0,249.0,1256.0,33.0,1261.0,62283.0,43496.0,30599.0,1149.0,78704
20473,20.9,32414.0,23811.0,2064.0,99.0,4559.0,10.0,1130.0,13349.0,12075.0,12455.0,1279.0,78705
20474,19.8,848.0,586.0,136.0,9.0,40.0,0.0,48.0,-666666666.0,3748.0,238.0,68.0,78712
20475,35.1,27101.0,19147.0,825.0,146.0,5761.0,31.0,804.0,103595.0,42516.0,14044.0,474.0,78717
20476,43.6,1762.0,1456.0,42.0,0.0,6.0,0.0,24.0,45250.0,15407.0,749.0,31.0,78719
20477,33.4,12153.0,6848.0,3749.0,115.0,184.0,0.0,414.0,38301.0,17626.0,5768.0,696.0,78721
20478,32.3,7292.0,5587.0,973.0,0.0,195.0,32.0,445.0,63559.0,36416.0,4818.0,183.0,78722
20479,32.7,32496.0,22427.0,6233.0,97.0,575.0,0.0,711.0,42462.0,25830.0,16581.0,1088.0,78723
20480,26.9,24558.0,15325.0,5665.0,178.0,46.0,0.0,809.0,41308.0,14134.0,9852.0,626.0,78724
20481,32.1,7931.0,4644.0,1983.0,0.0,65.0,0.0,502.0,55119.0,20509.0,4356.0,166.0,78725
20482,30.6,13925.0,10289.0,866.0,0.0,2309.0,0.0,314.0,95646.0,46664.0,7909.0,332.0,78726
20483,36.2,29085.0,20086.0,1902.0,143.0,5140.0,0.0,1157.0,72535.0,39524.0,17799.0,696.0,78727
21654,33.3,21858.0,14210.0,4168.0,139.0,1487.0,0.0,882.0,55619.0,32392.0,13347.0,514.0,78728
21655,33.9,30151.0,23876.0,2039.0,69.0,2448.0,0.0,1260.0,70164.0,37322.0,18892.0,684.0,78729
21656,40.1,9038.0,8118.0,18.0,0.0,475.0,0.0,219.0,105086.0,76750.0,4989.0,208.0,78730
21657,38.3,27401.0,23274.0,788.0,27.0,1965.0,30.0,826.0,83438.0,60889.0,14903.0,582.0,78731
21658,39.3,16851.0,14257.0,297.0,24.0,1622.0,0.0,622.0,138734.0,57823.0,7107.0,375.0,78732
21659,40.3,8886.0,7185.0,16.0,5.0,1261.0,13.0,309.0,129875.0,67169.0,4205.0,178.0,78733
