Zipcode,Employed,Household Income,Median Age,Per Capita Income,Population,Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Black Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Population (White Alone),Unemployed
,48999.0,83499.0,34.1,33870.0,89830.0,840.0,8755.0,12760.0,108.0,4487.0,59056.0,1928.0
,12716.0,105207.0,36.1,85040.0,20890.0,46.0,1889.0,239.0,0.0,260.0,18214.0,247.0
,6559.0,44076.0,34.6,22792.0,12492.0,55.0,224.0,3282.0,0.0,378.0,7154.0,442.0
,8151.0,77935.0,32.0,48434.0,13867.0,0.0,2360.0,591.0,0.0,564.0,9952.0,210.0
,12667.0,55099.0,34.8,34602.0,21480.0,95.0,1981.0,3362.0,0.0,766.0,14122.0,487.0
,4833.0,109012.0,43.0,52693.0,9047.0,16.0,270.0,30.0,6.0,277.0,8395.0,69.0
,16209.0,91585.0,39.7,51125.0,30847.0,135.0,4702.0,1286.0,6.0,1533.0,22743.0,1056.0
,31742.0,49065.0,31.2,24078.0,59085.0,654.0,3682.0,7040.0,38.0,1788.0,34872.0,1631.0
,15479.0,110085.0,34.7,45879.0,30218.0,224.0,8374.0,1338.0,108.0,1297.0,18218.0,444.0
,7916.0,132245.0,41.6,54039.0,16160.0,0.0,564.0,416.0,0.0,621.0,14325.0,260.0
,10597.0,81184.0,34.2,30099.0,20166.0,128.0,628.0,1272.0,10.0,547.0,14902.0,546.0
,22561.0,98953.0,37.0,48575.0,37774.0,40.0,4041.0,1623.0,0.0,1426.0,30241.0,1092.0
,14791.0,70489.0,36.9,45121.0,24823.0,0.0,830.0,334.0,0.0,666.0,20493.0,297.0
,33057.0,94685.0,34.9,36055.0,65654.0,203.0,2017.0,3048.0,96.0,3034.0,55754.0,1350.0
,10801.0,69107.0,32.6,24564.0,22804.0,109.0,483.0,5804.0,0.0,1293.0,10971.0,698.0
,18125.0,76832.0,34.4,40494.0,29315.0,0.0,2727.0,1778.0,0.0,1019.0,23169.0,711.0
,935.0,58917.0,44.4,19199.0,1815.0,0.0,4.0,95.0,0.0,41.0,1170.0,14.0
,19024.0,54707.0,33.8,31940.0,34569.0,125.0,854.0,7038.0,0.0,974.0,21822.0,877.0
,7531.0,130699.0,42.3,65842.0,15589.0,0.0,1190.0,216.0,0.0,424.0,13640.0,257.0
,10512.0,45887.0,29.3,16452.0,24779.0,349.0,29.0,5795.0,31.0,663.0,12065.0,604.0
,17763.0,78542.0,37.0,43943.0,29509.0,294.0,5659.0,1914.0,0.0,1224.0,19830.0,837.0
,4891.0,112333.0,42.9,82238.0,9186.0,0.0,587.0,103.0,0.0,443.0,7963.0,136.0
,4054.0,154543.0,42.1,74320.0,8611.0,0.0,1240.0,20.0,8.0,329.0,6950.0,183.0
,10877.0,59926.0,29.5,46170.0,15805.0,120.0,969.0,518.0,35.0,429.0,13168.0,449.0
,18319.0,79318.0,35.0,33389.0,35142.0,123.0,434.0,1473.0,71.0,1064.0,29990.0,666.0
,12659.0,54940.0,29.8,19639.0,28558.0,376.0,461.0,2124.0,0.0,898.0,12242.0,817.0
,4870.0,71340.0,32.6,43950.0,7110.0,0.0,150.0,840.0,0.0,411.0,5584.0,136.0
,34104.0,72467.0,33.6,31328.0,62183.0,39.0,3271.0,6938.0,21.0,3272.0,46500.0,1867.0
,7108.0,107190.0,35.3,99948.0,9427.0,31.0,616.0,396.0,19.0,185.0,7990.0,121.0
,9346.0,97636.0,38.6,67415.0,17923.0,25.0,1321.0,566.0,0.0,415.0,15436.0,367.0
,12356.0,45644.0,31.0,26276.0,21324.0,379.0,454.0,1995.0,0.0,601.0,12814.0,638.0
,28422.0,53547.0,32.4,30082.0,47470.0,531.0,2903.0,3732.0,0.0,1129.0,31347.0,1176.0
,3123.0,82328.0,42.2,39023.0,5504.0,99.0,50.0,238.0,17.0,88.0,4882.0,71.0
,28887.0,103681.0,36.0,38595.0,56959.0,105.0,5416.0,3415.0,23.0,2494.0,44249.0,1604.0
,32404.0,70511.0,33.0,53557.0,48486.0,267.0,1573.0,1852.0,27.0,1526.0,42676.0,1127.0
,4556.0,65345.0,35.1,27167.0,7886.0,0.0,102.0,1437.0,0.0,248.0,3518.0,113.0
,9456.0,150000.0,39.6,57555.0,20312.0,16.0,2144.0,623.0,0.0,625.0,16693.0,236.0
,409.0,38958.0,31.5,18185.0,828.0,0.0,0.0,68.0,0.0,38.0,601.0,14.0
,24858.0,49633.0,29.4,19660.0,48969.0,436.0,565.0,3871.0,0.0,1224.0,33186.0,1186.0
,30214.0,77700.0,34.6,35891.0,50997.0,160.0,2427.0,3229.0,10.0,2443.0,41671.0,815.0
,5828.0,82705.0,35.6,59679.0,8323.0,0.0,414.0,225.0,0.0,277.0,7256.0,77.0
,14753.0,94048.0,39.1,69343.0,27175.0,89.0,2268.0,457.0,20.0,1002.0,22898.0,419.0
,9352.0,115458.0,46.1,59634.0,18745.0,44.0,444.0,413.0,0.0,702.0,17089.0,365.0
,32530.0,41852.0,28.0,24866.0,52716.0,680.0,2148.0,6658.0,84.0,1555.0,36412.0,1504.0
,14191.0,139951.0,42.1,84782.0,28495.0,10.0,2096.0,253.0,0.0,515.0,25335.0,570.0
,41315.0,101832.0,35.1,39885.0,79699.0,298.0,7192.0,2375.0,52.0,3385.0,64495.0,1406.0
,13210.0,67224.0,32.4,31605.0,24408.0,191.0,3336.0,4197.0,114.0,1261.0,13368.0,733.0
