,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,Zipcode
17965,4197.0,987.0,0.0,569.0,0.0,227.0,6234.0,2409.0,3825.0,78660
17966,777.0,1.0,3.0,374.0,0.0,0.0,1176.0,668.0,508.0,78703
17967,1770.0,1066.0,7.0,44.0,0.0,0.0,3208.0,1308.0,1900.0,78721
17968,400.0,20.0,0.0,110.0,0.0,94.0,624.0,171.0,453.0,78726
17969,1534.0,578.0,0.0,81.0,0.0,123.0,2457.0,1281.0,1176.0,78728
17970,459.0,25.0,0.0,0.0,0.0,0.0,484.0,245.0,239.0,78736
17971,1454.0,194.0,0.0,225.0,0.0,80.0,1965.0,944.0,1021.0,78750
17972,5663.0,1529.0,106.0,589.0,23.0,542.0,11599.0,5727.0,5872.0,78753
18918,661.0,30.0,31.0,267.0,0.0,99.0,1131.0,404.0,727.0,78717
18919,501.0,2.0,0.0,7.0,0.0,8.0,518.0,242.0,276.0,78737
18920,857.0,8.0,23.0,0.0,0.0,36.0,1045.0,595.0,450.0,78747
18921,1348.0,106.0,0.0,150.0,0.0,179.0,1783.0,705.0,1078.0,78749
18922,2273.0,169.0,0.0,144.0,0.0,101.0,3775.0,1840.0,1935.0,78757
18983,3335.0,481.0,0.0,69.0,0.0,109.0,4027.0,1873.0,2154.0,78641
18990,1383.0,1120.0,0.0,202.0,0.0,109.0,3272.0,1473.0,1799.0,78653
18991,968.0,299.0,0.0,98.0,0.0,84.0,1584.0,759.0,825.0,78729
18999,187.0,11.0,0.0,0.0,0.0,0.0,237.0,101.0,136.0,78719
19000,3655.0,2202.0,9.0,165.0,0.0,129.0,7327.0,3123.0,4204.0,78723
19007,444.0,7.0,0.0,186.0,0.0,0.0,637.0,362.0,275.0,78738
19013,3109.0,902.0,99.0,0.0,20.0,152.0,6077.0,2840.0,3237.0,78724
19014,1223.0,171.0,0.0,253.0,0.0,94.0,1910.0,752.0,1158.0,78727
19015,249.0,0.0,0.0,0.0,0.0,0.0,249.0,107.0,142.0,78730
19017,179.0,0.0,0.0,5.0,0.0,0.0,195.0,125.0,70.0,78733
19018,2157.0,119.0,23.0,323.0,35.0,77.0,2971.0,1246.0,1725.0,78751
19024,2081.0,72.0,0.0,0.0,11.0,16.0,2381.0,1024.0,1357.0,78610
19060,1785.0,316.0,16.0,14.0,0.0,71.0,4022.0,1661.0,2361.0,78617
19065,458.0,42.0,0.0,34.0,0.0,179.0,752.0,251.0,501.0,78722
19066,3658.0,1104.0,11.0,378.0,0.0,495.0,5746.0,2319.0,3427.0,78664
19086,895.0,190.0,24.0,109.0,0.0,37.0,1303.0,830.0,473.0,78701
19087,1697.0,28.0,0.0,74.0,0.0,0.0,1829.0,866.0,963.0,78735
19088,2653.0,465.0,160.0,195.0,0.0,75.0,4868.0,2364.0,2504.0,78752
19089,4576.0,745.0,36.0,232.0,0.0,153.0,8625.0,3601.0,5024.0,78758
19494,554.0,14.0,0.0,0.0,0.0,0.0,568.0,290.0,278.0,78652
19495,2080.0,146.0,0.0,324.0,0.0,42.0,2592.0,951.0,1641.0,78681
19496,5081.0,584.0,124.0,173.0,27.0,160.0,6288.0,2735.0,3553.0,78704
19497,297.0,236.0,0.0,0.0,0.0,25.0,774.0,378.0,396.0,78725
19498,523.0,0.0,0.0,104.0,0.0,19.0,646.0,318.0,328.0,78739
19499,74.0,26.0,0.0,0.0,0.0,0.0,100.0,36.0,64.0,78742
19546,7710.0,1051.0,0.0,21.0,0.0,288.0,11107.0,5307.0,5800.0,78744
19548,3469.0,185.0,0.0,156.0,0.0,208.0,4220.0,2239.0,1981.0,78748
19551,320.0,77.0,0.0,5.0,0.0,0.0,463.0,188.0,275.0,78756
19595,1693.0,46.0,0.0,478.0,0.0,140.0,2446.0,896.0,1550.0,78731
19596,944.0,47.0,0.0,26.0,0.0,41.0,1069.0,426.0,643.0,78734
19597,8227.0,2582.0,171.0,946.0,0.0,371.0,13899.0,6930.0,6969.0,78741
19598,1172.0,32.0,0.0,61.0,0.0,12.0,1314.0,587.0,727.0,78746
19599,2984.0,70.0,0.0,244.0,0.0,222.0,3617.0,1763.0,1854.0,78613
19602,2005.0,484.0,0.0,207.0,0.0,0.0,2905.0,856.0,2049.0,78754
19603,8190.0,360.0,55.0,3629.0,0.0,558.0,13108.0,6688.0,6420.0,78705
19604,1571.0,369.0,0.0,208.0,0.0,195.0,2441.0,1322.0,1119.0,78759
19612,3097.0,1498.0,0.0,87.0,0.0,154.0,5032.0,2306.0,2726.0,78702
19613,6443.0,570.0,11.0,195.0,0.0,161.0,7515.0,3220.0,4295.0,78745
19636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
19644,286.0,0.0,0.0,0.0,0.0,0.0,286.0,119.0,167.0,78732
