Zipcode,Education (No Schooling)_2012,Education (High School)_2012,Education (GED)_2012,Education (Associate's)_2012,Education (Bachelor's)_2012,Education (Master's)_2012,Education (Master's)_2012,Education (Doctorate)_2012,Education (No Schooling)_2013,Education (High School)_2013,Education (GED)_2013,Education (Associate's)_2013,Education (Bachelor's)_2013,Education (Master's)_2013,Education (Master's)_2013,Education (Doctorate)_2013,Education (No Schooling)_2014,Education (High School)_2014,Education (GED)_2014,Education (Associate's)_2014,Education (Bachelor's)_2014,Education (Master's)_2014,Education (Master's)_2014,Education (Doctorate)_2014,Education (No Schooling)_2015,Education (High School)_2015,Education (GED)_2015,Education (Associate's)_2015,Education (Bachelor's)_2015,Education (Master's)_2015,Education (Master's)_2015,Education (Doctorate)_2015,Education (No Schooling)_2016,Education (High School)_2016,Education (GED)_2016,Education (Associate's)_2016,Education (Bachelor's)_2016,Education (Master's)_2016,Education (Master's)_2016,Education (Doctorate)_2016,Education (No Schooling)_2017,Education (High School)_2017,Education (GED)_2017,Education (Associate's)_2017,Education (Bachelor's)_2017,Education (Master's)_2017,Education (Master's)_2017,Education (Doctorate)_2017,Education (No Schooling)_2018,Education (High School)_2018,Education (GED)_2018,Education (Associate's)_2018,Education (Bachelor's)_2018,Education (Master's)_2018,Education (Master's)_2018,Education (Doctorate)_2018
78610,40,2859,606,1093,3750,1135,112,104,34,3103,665,1182,3801,1211,97,155,40,3401,717,1122,3991,1428,112,145,51,3805,713,1224,4668,1364,66,242,145,3554,922,1321,5012,1682,71,271,149,3873,1087,1549,5332,1872,208,260,161,4447,1050,1380,6014,2110,265,358
78613,122,5852,998,3123,13532,3759,781,513,78,5730,1114,3437,14141,4377,802,514,95,5901,1319,3464,14732,5041,896,578,115,6227,1277,3626,14815,5403,915,580,171,6174,1488,3857,14935,5719,816,454,206,6018,1550,4166,15978,6255,823,406,241,6302,1645,4044,17266,6498,861,543
78617,459,2564,735,503,1089,118,20,0,474,2982,812,454,1270,227,12,0,579,2953,1000,584,1172,243,70,17,455,3414,913,632,1138,239,77,23,563,3942,826,570,1093,328,64,27,630,4102,773,628,1305,329,92,21,581,4527,844,562,1360,200,97,24
78641,328,5425,1430,2635,6670,1942,277,226,405,5219,1381,2870,7161,2025,211,211,527,5682,1351,2955,7370,2109,276,288,341,5689,1262,3477,8093,2502,260,339,395,5694,1345,3722,8961,3044,486,441,532,6255,1154,3707,9855,3348,517,415,630,6415,1308,3986,11041,3576,595,519
78652,27,685,46,180,1049,247,17,3,25,713,51,164,1271,313,22,10,41,748,68,142,1370,293,41,29,43,682,54,201,1416,252,38,21,79,692,54,213,1011,278,89,78,93,931,50,186,1115,297,118,99,94,1083,26,313,1254,414,109,102
78653,251,1981,348,708,1396,331,196,45,278,1916,331,778,1744,391,145,42,223,2205,596,947,1987,375,118,137,380,2448,533,904,1872,398,63,128,267,2428,598,932,2057,486,17,115,203,2891,787,940,2507,522,38,153,344,3145,770,1157,2398,688,71,147
78660,474,7492,1332,4813,10597,3218,334,406,660,8068,1518,4886,11731,4151,282,402,573,8341,1623,4751,12366,4562,344,474,722,8529,1613,5189,13168,4628,457,347,747,8524,1868,5542,13781,4833,577,404,810,10098,1859,5684,14758,4929,707,247,918,10475,1950,6005,15392,4854,750,488
78664,506,6014,1154,2495,7093,2063,279,233,512,6602,1231,2509,7320,2212,439,332,637,6714,1127,2792,7411,2404,379,283,771,6506,1032,3105,7421,2515,412,346,692,7372,1254,3320,7496,2789,452,342,614,7332,1261,3374,8370,3104,389,292,665,7440,1189,3597,9289,3212,302,291
78681,207,4036,870,2650,10379,4082,579,496,281,4230,923,2573,10708,4191,557,463,299,4365,903,2481,11398,4066,650,497,398,4230,1282,2661,11457,4068,640,490,344,4214,1054,2621,12027,4557,569,504,454,3858,1174,2932,12591,4644,717,535,366,3813,1167,3276,12355,4699,860,499
78701,38,319,40,100,1788,907,434,280,33,361,20,75,1915,1092,507,282,34,327,13,192,2049,1212,386,323,65,292,20,178,2546,1312,461,382,73,432,36,223,2623,1531,432,361,135,447,52,306,2994,1327,520,346,128,393,82,288,3891,1443,657,345
78702,508,2706,579,479,2895,774,137,139,517,2516,730,323,3205,1002,178,174,540,2696,716,425,3325,1053,269,134,614,2631,685,509,3385,1330,311,189,648,2908,718,444,3883,1348,384,210,566,2700,763,559,4272,1649,458,198,648,2622,742,602,4926,1854,485,299
78703,115,595,206,188,6392,3402,1841,717,25,460,128,223,6595,3315,2016,611,11,443,78,234,6822,3303,1986,735,42,454,87,274,6862,3542,2082,646,31,434,76,280,6970,3653,1972,786,60,358,72,285,6615,3929,1900,657,61,333,69,318,6581,4265,1834,773
78704,260,2952,436,1594,10237,3741,1397,764,227,2891,556,1546,11110,3834,1584,759,227,2910,551,1672,11789,3844,1670,1029,238,3016,562,1570,12834,4522,1654,1040,223,2908,590,1562,14067,4664,1716,1134,235,2760,714,1728,15017,5045,1755,1028,161,2714,563,1851,16148,5370,1836,1334
78705,65,275,81,241,1926,1214,276,420,98,296,80,242,2165,1014,179,418,140,309,5,213,2147,1100,217,435,71,363,54,238,2474,1005,203,577,77,327,67,201,2638,1144,248,401,76,363,66,232,2923,1143,206,392,5,414,93,232,3004,1265,230,469
78712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0
78717,28,1550,197,1587,5655,2501,293,376,58,1467,471,1524,5546,2455,295,423,35,1350,549,1531,6240,2813,380,496,73,1493,505,1510,6523,2803,445,460,48,1336,363,1316,7106,2771,487,436,57,1552,422,1166,6750,3106,633,478,75,1611,222,1512,7199,3831,673,514
78719,22,156,93,20,91,46,39,0,25,201,89,20,76,48,0,0,27,337,95,48,64,36,0,0,33,308,86,45,75,14,4,12,8,278,61,56,69,15,5,14,39,366,66,39,74,17,5,14,48,321,60,40,61,15,6,14
78721,260,1593,382,266,749,159,47,10,296,1599,419,249,783,187,38,19,327,1855,505,306,911,229,59,16,300,1818,585,365,940,275,92,23,346,1757,493,314,1183,381,119,38,413,1863,503,309,1483,445,91,51,511,1888,430,292,1877,558,140,47
78722,0,492,62,137,1954,651,101,149,0,401,46,189,1978,859,102,197,32,422,110,222,2141,826,136,132,9,545,87,178,2283,914,155,137,27,652,81,174,2175,1090,188,141,28,540,131,217,2473,1028,226,143,22,519,148,163,2434,992,312,158
78723,561,3129,888,708,3602,1364,270,254,503,3116,1021,785,4098,1605,324,315,554,3268,990,976,4235,1751,386,382,585,3604,920,1027,4685,1829,395,357,592,3705,814,982,5203,2083,386,268,512,3968,851,1089,5522,2510,510,397,637,3980,728,1161,6075,2572,626,545
78724,232,2638,529,655,828,234,59,18,174,2740,582,683,915,245,18,71,198,2897,569,473,980,295,42,82,191,2858,626,506,1104,243,31,66,367,2836,628,564,1139,283,35,119,305,3067,665,614,1109,499,35,94,371,3271,713,557,1264,563,39,104
78725,133,792,145,164,565,143,0,9,61,1153,97,120,597,127,0,15,72,1182,115,141,638,142,0,8,68,1052,253,159,575,225,7,4,142,1465,264,183,655,219,16,13,126,1444,274,208,493,264,56,13,124,1401,279,209,593,357,52,75
78726,0,599,230,679,2557,1539,87,240,39,520,278,515,2793,1880,218,229,32,357,309,578,2887,1893,197,208,58,433,311,449,3050,1911,206,128,95,481,31,382,3742,1845,248,207,110,724,30,394,3859,1895,206,218,53,708,24,456,4155,1616,185,213
