Zipcode,Median year housing units were built_2011,Median contract rent_2011,Median gross rent (contract rent plus utilities)_2011,Median value (dollars) for Owner-Occupied housing units_2011,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2011,Median year housing units were built_2012,Median contract rent_2012,Median gross rent (contract rent plus utilities)_2012,Median value (dollars) for Owner-Occupied housing units_2012,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2012,Median year housing units were built_2013,Median contract rent_2013,Median gross rent (contract rent plus utilities)_2013,Median value (dollars) for Owner-Occupied housing units_2013,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2013,Median year housing units were built_2014,Median contract rent_2014,Median gross rent (contract rent plus utilities)_2014,Median value (dollars) for Owner-Occupied housing units_2014,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2014,Median year housing units were built_2015,Median contract rent_2015,Median gross rent (contract rent plus utilities)_2015,Median value (dollars) for Owner-Occupied housing units_2015,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2015,Median year housing units were built_2016,Median contract rent_2016,Median gross rent (contract rent plus utilities)_2016,Median value (dollars) for Owner-Occupied housing units_2016,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2016,Median year housing units were built_2017,Median contract rent_2017,Median gross rent (contract rent plus utilities)_2017,Median value (dollars) for Owner-Occupied housing units_2017,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2017,Median year housing units were built_2018,Median contract rent_2018,Median gross rent (contract rent plus utilities)_2018,Median value (dollars) for Owner-Occupied housing units_2018,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2018
78610,1995,961,1247,182900,1663,1997,864,1053,183600,1692,1999,869,1084,182400,1634,2000,835,1035,183300,1614,2001,835,1038,191900,1618,2002,868,1058,208400,1649,2004,960,1179,224600,1720,2006,1034,1238,241500,1866
78613,1999,904,1064,192700,1837,2000,942,1092,194700,1817,2000,956,1107,198900,1799,2000,1003,1128,210100,1819,2001,1002,1141,221700,1813,2001,1074,1229,235700,1856,2001,1143,1299,255200,1922,2002,1205,1355,275900,2018
78617,1998,721,1072,102900,1291,1998,699,1041,100600,1242,1999,813,1105,99700,1202,1999,763,1043,96000,1178,2000,805,1085,104200,1194,2000,771,1061,115600,1249,2000,1019,1303,123900,1336,2000,977,1229,137400,1374
78641,2000,973,1173,157000,1585,2000,986,1267,155400,1578,2000,1041,1312,156900,1576,2000,1017,1298,160200,1551,2001,1037,1313,171600,1547,2002,1100,1368,186100,1603,2003,1150,1364,213100,1687,2004,1231,1500,236400,1797
78652,1981,897,1134,191200,1664,1983,938,1131,194700,1682,1985,925,1113,191200,1665,1984,918,1132,189500,1652,1986,978,1218,196700,1540,1988,1000,1136,216500,1550,1991,1121,1231,239500,1698,2000,1242,1346,280100,1823
78653,2003,978,1304,143500,1488,2003,1001,1333,141300,1527,2003,1011,1328,141200,1528,2003,1007,1289,139400,1496,2003,970,1191,145000,1441,2003,1051,1251,152600,1384,2003,1083,1273,160600,1385,2004,1099,1352,168300,1439
78660,2000,914,1143,163000,1661,2001,917,1128,163900,1619,2001,935,1153,165700,1624,2001,930,1116,168100,1609,2001,951,1139,172900,1574,2001,1024,1209,180800,1593,2002,1132,1312,198500,1626,2003,1202,1355,214600,1700
78664,1995,792,1006,147600,1524,1995,817,1033,147600,1503,1995,833,1032,149600,1482,1995,854,1044,150400,1444,1995,870,1056,157300,1407,1995,935,1111,161100,1409,1995,977,1137,172900,1462,1996,1058,1228,193900,1533
78681,1996,928,1167,210300,1856,1996,944,1204,213000,1887,1996,922,1185,213300,1883,1996,908,1125,219400,1907,1997,912,1113,230100,1898,1997,962,1136,239400,1888,1997,1086,1223,256100,1954,1997,1214,1379,281200,2067
78701,2000,1396,1522,317100,2503,2000,1433,1590,338300,2633,2002,1495,1653,372000,3095,2002,1595,1691,430800,3187,2002,1678,1752,440100,3057,2003,1658,1734,447100,3147,2004,1755,1847,476700,3086,2004,1873,1950,435400,2680
