Zipcode,Median Age_2011,Population_2011,Population (White Alone)_2011,Population (Black Alone)_2011,Population (American Indian or Alaskan Native Alone)_2011,Population (Asian Alone)_2011,Population (Native Hawaiian and Other Pacific Islander Alone)_2011,Population (Two or more races)_2011,Household Income_2011,Per Capita Income_2011,Employed_2011,Unemployed_2011,Median Age_2012,Population_2012,Population (White Alone)_2012,Population (Black Alone)_2012,Population (American Indian or Alaskan Native Alone)_2012,Population (Asian Alone)_2012,Population (Native Hawaiian and Other Pacific Islander Alone)_2012,Population (Two or more races)_2012,Household Income_2012,Per Capita Income_2012,Employed_2012,Unemployed_2012,Median Age_2013,Population_2013,Population (White Alone)_2013,Population (Black Alone)_2013,Population (American Indian or Alaskan Native Alone)_2013,Population (Asian Alone)_2013,Population (Native Hawaiian and Other Pacific Islander Alone)_2013,Population (Two or more races)_2013,Household Income_2013,Per Capita Income_2013,Employed_2013,Unemployed_2013,Median Age_2014,Population_2014,Population (White Alone)_2014,Population (Black Alone)_2014,Population (American Indian or Alaskan Native Alone)_2014,Population (Asian Alone)_2014,Population (Native Hawaiian and Other Pacific Islander Alone)_2014,Population (Two or more races)_2014,Household Income_2014,Per Capita Income_2014,Employed_2014,Unemployed_2014,Median Age_2015,Population_2015,Population (White Alone)_2015,Population (Black Alone)_2015,Population (American Indian or Alaskan Native Alone)_2015,Population (Asian Alone)_2015,Population (Native Hawaiian and Other Pacific Islander Alone)_2015,Population (Two or more races)_2015,Household Income_2015,Per Capita Income_2015,Employed_2015,Unemployed_2015,Median Age_2016,Population_2016,Population (White Alone)_2016,Population (Black Alone)_2016,Population (American Indian or Alaskan Native Alone)_2016,Population (Asian Alone)_2016,Population (Native Hawaiian and Other Pacific Islander Alone)_2016,Population (Two or more races)_2016,Household Income_2016,Per Capita Income_2016,Employed_2016,Unemployed_2016,Median Age_2017,Population_2017,Population (White Alone)_2017,Population (Black Alone)_2017,Population (American Indian or Alaskan Native Alone)_2017,Population (Asian Alone)_2017,Population (Native Hawaiian and Other Pacific Islander Alone)_2017,Population (Two or more races)_2017,Household Income_2017,Per Capita Income_2017,Employed_2017,Unemployed_2017,Median Age_2018,Population_2018,Population (White Alone)_2018,Population (Black Alone)_2018,Population (American Indian or Alaskan Native Alone)_2018,Population (Asian Alone)_2018,Population (Native Hawaiian and Other Pacific Islander Alone)_2018,Population (Two or more races)_2018,Household Income_2018,Per Capita Income_2018,Employed_2018,Unemployed_2018
78610,35.9,22052,17817,333,78,170,8,346,82702,31356,11201,744,34.7,24313,20457,557,79,189,13,406,83536,31452,12154,946,34.6,25580,21828,590,93,301,69,657,79049,31048,12926,1104,34.6,26991,22506,801,109,199,104,1029,74550,29996,13127,1030,34.9,29200,24344,1024,111,330,124,967,74250,29610,14466,977,34.7,30452,26023,1220,56,471,125,885,75453,30388,15418,983,34.4,32692,27653,1321,58,535,146,1319,76623,31766,17341,840,35,35142,29990,1473,123,434,71,1064,79318,33389,18319,666
78613,33.9,63901,50457,3520,196,3954,25,1744,81819,33101,32226,2282,34.5,65178,52201,3257,153,4559,27,1947,80694,33747,32358,2530,34.7,68426,56193,2864,140,4992,23,1910,81928,34311,33830,2658,34.9,70764,58439,3398,158,5498,0,2358,83146,35314,34962,2383,34.4,73448,60815,3039,246,5924,30,2395,84556,34849,36754,2273,34.6,75279,61783,2712,311,6427,19,2920,91033,35957,37399,1782,35.1,77779,63298,2511,339,6448,74,3320,96857,38378,39590,1537,35.1,79699,64495,2375,298,7192,52,3385,101832,39885,41315,1406
78617,28.8,18572,10266,1762,284,258,0,628,44334,14975,7098,1061,30.4,19553,12098,1826,388,223,0,594,43957,15559,7747,1377,30,21096,13458,2435,367,434,0,671,45212,15029,7938,1450,30,23025,15923,2772,267,336,0,551,45040,15038,8339,1471,30.2,25473,15865,3147,305,533,0,1024,45995,15645,9207,1708,30,26126,15979,2855,332,343,0,735,47551,16737,10446,898,29.6,27900,14282,2945,278,433,0,785,52819,18598,11830,729,29.8,28558,12242,2124,376,461,0,898,54940,19639,12659,817
78641,32.2,43655,37893,1457,113,801,0,1114,67683,27738,21938,1389,32.8,47490,41339,1759,80,890,0,1158,64442,27830,23422,1761,33.4,48854,42609,1517,128,949,0,1460,71885,29372,24117,1887,33.7,51247,45426,1460,228,910,0,1696,73535,29910,25872,1994,34.6,52984,46598,1850,155,926,0,1977,77052,31313,26832,1579,34.8,55933,48572,1979,239,1204,0,2347,83526,33138,28321,1594,34.7,60135,51846,2293,254,1643,0,2367,88562,35246,31014,1327,34.9,65654,55754,3048,203,2017,96,3034,94685,36055,33057,1350
78652,39.1,4256,3765,131,0,37,0,65,79107,37908,2476,204,39,4687,4113,189,0,62,0,123,77985,35796,2673,169,36.5,5117,4649,124,0,55,0,115,76604,35643,2775,234,35.9,5408,4677,154,75,63,2,143,70868,33957,2825,275,36.6,5355,4608,142,72,66,19,108,73194,34362,2935,245,40.1,4919,4395,119,92,65,12,71,78594,34131,2647,52,40.9,4965,4476,156,118,25,5,23,87520,37864,2605,56,42.2,5504,4882,238,99,50,17,88,82328,39023,3123,71
78653,29.5,14631,8136,2916,197,252,0,290,55073,21795,6701,414,30,15783,8529,3599,175,168,0,512,55398,21585,7262,545,30.5,16917,9857,3708,161,297,0,548,59763,21044,7751,719,31.3,17968,10840,4189,158,340,0,905,62415,22325,8374,685,30.5,19072,10938,4651,74,142,0,726,62198,21236,8736,761,32.8,19328,11405,4613,131,201,0,957,60880,22020,8814,904,32.7,20822,11247,5006,105,335,0,1108,66752,24618,10009,786,32.6,22804,10971,5804,109,483,0,1293,69107,24564,10801,698
78660,31.6,67630,41989,10067,258,6952,0,1764,72137,27021,33759,2711,32.3,70407,47006,10518,301,6801,0,1646,71507,27540,35285,2931,32.5,75038,50963,11004,446,7595,0,1656,76007,28353,37967,3154,33.7,77046,54681,11293,497,7110,0,1782,75138,29093,39921,2866,34.2,79067,55690,12106,568,6932,10,2095,76368,30306,41733,2580,33.8,81698,55090,13325,559,7929,119,2901,78145,31515,44369,2346,34.3,85450,55940,13462,509,8032,79,3492,81693,32759,46229,2377,34.1,89830,59056,12760,840,8755,108,4487,83499,33870,48999,1928
78664,31.1,51942,38563,6144,244,2110,15,2127,62283,27852,27226,2344,30.6,54864,41775,6693,245,2096,17,2196,60442,26551,27776,2537,30.9,57806,43847,6992,246,2583,20,2010,61401,26891,29080,2806,31.8,58959,45550,6746,175,2733,71,2053,61673,27690,29699,2291,31.7,59765,45002,7510,181,2881,11,1977,62446,26672,30205,2023,32.8,60884,45617,7329,121,2753,11,2901,63923,27792,32221,1933,33,61361,44878,7412,64,3403,19,2988,67462,29552,33104,1859,33.6,62183,46500,6938,39,3271,21,3272,72467,31328,34104,1867
78681,34.3,51409,41412,2161,590,3611,14,2253,89900,34144,25740,1739,34.2,53229,42930,2271,473,3985,11,2320,92981,33603,26653,1777,35.1,54141,43474,2515,495,4151,17,2513,92453,34024,26463,1926,35.4,54517,44267,2504,450,3994,17,2206,96086,35499,26789,1927,35.3,54923,44337,2758,417,4074,0,2356,96100,35720,27198,1747,35.7,56086,44715,3175,94,4532,0,2402,98444,36096,28015,1917,35.7,57234,45188,2979,113,5120,32,2704,100622,37504,28527,1911,36,56959,44249,3415,105,5416,23,2494,103681,38595,28887,1604
78701,33.1,5084,4097,397,0,335,0,81,63484,69865,3277,314,33.8,5642,4596,326,0,452,0,135,68152,76811,3534,347,33.8,5915,4847,313,0,453,0,175,86541,89670,4080,276,33.3,6188,5001,306,0,589,0,183,87306,92411,4323,229,33.5,7051,5708,265,13,666,15,273,96455,94892,5133,181,36.5,7401,6192,227,17,624,17,233,102112,105058,5382,138,35.4,7875,6714,333,21,520,18,107,112201,109136,5965,101,35.3,9427,7990,396,31,616,19,185,107190,99948,7108,121
