,Unnamed: 0_x,Poverty White_2011,Poverty Black_2011,Poverty American Indian_2011,Poverty Asian_2011,Poverty Hispanic_2011,Poverty Two or More Races_2011,Total Poverty Count_2011,Poverty Male_2011,Female_2011,Zipcode,Unnamed: 0_y,Poverty White_2012,Poverty Black_2012,Poverty American Indian_2012,Poverty Asian_2012,Poverty Hispanic_2012,Poverty Two or More Races_2012,Total Poverty Count_2012,Poverty Male_2012,Female_2012,Unnamed: 0_x,Poverty White_2013,Poverty Black_2013,Poverty American Indian_2013,Poverty Asian_2013,Poverty Hispanic_2013,Poverty Two or More Races_2013,Total Poverty Count_2013,Poverty Male_2013,Female_2013,Unnamed: 0_y,Poverty White_2014,Poverty Black_2014,Poverty American Indian_2014,Poverty Asian_2014,Poverty Hispanic_2014,Poverty Two or More Races_2014,Total Poverty Count_2014,Poverty Male_2014,Female_2014,Unnamed: 0_x,Poverty White_2015,Poverty Black_2015,Poverty American Indian_2015,Poverty Asian_2015,Poverty Hispanic_2015,Poverty Two or More Races_2015,Total Poverty Count_2015,Poverty Male_2015,Female_2015,Unnamed: 0_y,Poverty White_2016,Poverty Black_2016,Poverty American Indian_2016,Poverty Asian_2016,Poverty Hispanic_2016,Poverty Two or More Races_2016,Total Poverty Count_2016,Poverty Male_2016,Female_2016,Unnamed: 0_x,Poverty White_2017,Poverty Black_2017,Poverty American Indian_2017,Poverty Asian_2017,Poverty Hispanic_2017,Poverty Two or More Races_2017,Total Poverty Count_2017,Poverty Male_2017,Female_2017,Unnamed: 0_y,Poverty White_2018,Poverty Black_2018,Poverty American Indian_2018,Poverty Asian_2018,Poverty Hispanic_2018,Poverty Two or More Races_2018,Total Poverty Count_2018,Poverty Male_2018,Female_2018
0,27477,855.0,61.0,0.0,0.0,0.0,49.0,1070.0,648.0,422.0,78610,27315,1603.0,64.0,0.0,0.0,0.0,36.0,2036.0,1157.0,879.0,27158,2035.0,29.0,0.0,55.0,0.0,14.0,2499.0,1269.0,1230.0,26515,2790.0,24.0,0.0,69.0,7.0,0.0,3332.0,1620.0,1712.0,31370,2618.0,34.0,0.0,92.0,10.0,0.0,3055.0,1406.0,1649.0,20413,2327.0,34.0,0.0,57.0,12.0,0.0,2760.0,1154.0,1606.0,2705,2100.0,36.0,0.0,48.0,18.0,17.0,2412.0,946.0,1466.0,19024,2081.0,72.0,0.0,0.0,11.0,16.0,2381.0,1024.0,1357.0
1,27480,2152.0,61.0,0.0,113.0,0.0,72.0,3159.0,1418.0,1741.0,78613,27318,2574.0,286.0,0.0,196.0,0.0,252.0,3757.0,1562.0,2195.0,27161,2846.0,262.0,5.0,244.0,0.0,325.0,4075.0,1752.0,2323.0,26518,2955.0,318.0,7.0,140.0,0.0,453.0,3957.0,1762.0,2195.0,31373,2446.0,341.0,9.0,107.0,0.0,410.0,3404.0,1456.0,1948.0,20416,2429.0,313.0,9.0,146.0,0.0,359.0,3315.0,1389.0,1926.0,17859,2276.0,77.0,6.0,246.0,0.0,200.0,2943.0,1354.0,1589.0,19599,2984.0,70.0,0.0,244.0,0.0,222.0,3617.0,1763.0,1854.0
2,27484,1055.0,285.0,80.0,25.0,0.0,95.0,3498.0,1857.0,1641.0,78617,27322,1340.0,271.0,183.0,8.0,0.0,33.0,3373.0,1780.0,1593.0,27165,2428.0,190.0,172.0,73.0,0.0,42.0,4156.0,2141.0,2015.0,26522,3077.0,354.0,169.0,101.0,0.0,41.0,5148.0,2556.0,2592.0,31377,3189.0,366.0,124.0,104.0,0.0,98.0,5190.0,2623.0,2567.0,20420,3275.0,328.0,117.0,109.0,0.0,68.0,5016.0,2230.0,2786.0,2774,2965.0,184.0,14.0,107.0,0.0,61.0,4815.0,2194.0,2621.0,19060,1785.0,316.0,16.0,14.0,0.0,71.0,4022.0,1661.0,2361.0
3,27504,1464.0,75.0,9.0,0.0,0.0,217.0,1891.0,850.0,1041.0,78641,27342,1512.0,118.0,10.0,24.0,0.0,183.0,2065.0,1037.0,1028.0,27185,1663.0,40.0,7.0,16.0,0.0,89.0,2054.0,906.0,1148.0,26542,2362.0,55.0,12.0,37.0,0.0,170.0,2789.0,1226.0,1563.0,32187,2311.0,97.0,0.0,43.0,0.0,101.0,2805.0,1250.0,1555.0,20440,2686.0,226.0,0.0,58.0,0.0,128.0,3289.0,1455.0,1834.0,2664,3348.0,269.0,0.0,68.0,0.0,160.0,3892.0,1688.0,2204.0,18983,3335.0,481.0,0.0,69.0,0.0,109.0,4027.0,1873.0,2154.0
4,27511,130.0,1.0,0.0,7.0,0.0,28.0,194.0,116.0,78.0,78652,27349,104.0,4.0,0.0,0.0,0.0,30.0,168.0,104.0,64.0,27192,155.0,3.0,0.0,0.0,0.0,26.0,209.0,103.0,106.0,26549,220.0,20.0,0.0,0.0,0.0,33.0,306.0,145.0,161.0,32194,185.0,13.0,0.0,0.0,0.0,34.0,264.0,111.0,153.0,20447,231.0,15.0,0.0,0.0,0.0,0.0,246.0,75.0,171.0,2817,311.0,18.0,0.0,0.0,0.0,0.0,329.0,92.0,237.0,19494,554.0,14.0,0.0,0.0,0.0,0.0,568.0,290.0,278.0
5,27512,675.0,332.0,173.0,37.0,0.0,0.0,1794.0,823.0,971.0,78653,27350,1049.0,643.0,140.0,0.0,0.0,0.0,2368.0,1087.0,1281.0,27193,1338.0,539.0,83.0,29.0,0.0,0.0,2501.0,1139.0,1362.0,26550,1721.0,489.0,87.0,29.0,0.0,0.0,2733.0,1132.0,1601.0,32195,1837.0,415.0,0.0,0.0,0.0,0.0,2891.0,1358.0,1533.0,20448,2296.0,653.0,0.0,39.0,0.0,12.0,3358.0,1607.0,1751.0,2682,1871.0,608.0,0.0,46.0,0.0,14.0,2839.0,1323.0,1516.0,18990,1383.0,1120.0,0.0,202.0,0.0,109.0,3272.0,1473.0,1799.0
6,27518,3658.0,1913.0,49.0,667.0,0.0,79.0,6883.0,3020.0,3863.0,78660,27356,4187.0,1723.0,40.0,700.0,0.0,67.0,7248.0,3491.0,3757.0,27199,4639.0,2066.0,47.0,842.0,0.0,56.0,8278.0,3851.0,4427.0,26556,5497.0,1816.0,0.0,668.0,0.0,57.0,8265.0,3717.0,4548.0,32201,4900.0,1534.0,0.0,370.0,0.0,64.0,7049.0,3010.0,4039.0,20454,4094.0,1424.0,0.0,399.0,0.0,77.0,6211.0,2464.0,3747.0,2796,4159.0,1146.0,0.0,382.0,0.0,104.0,6165.0,2327.0,3838.0,17965,4197.0,987.0,0.0,569.0,0.0,227.0,6234.0,2409.0,3825.0
7,27522,2380.0,627.0,0.0,258.0,15.0,178.0,4059.0,2119.0,1940.0,78664,27360,3081.0,964.0,0.0,371.0,17.0,218.0,5090.0,2641.0,2449.0,27203,3563.0,1072.0,30.0,338.0,20.0,176.0,5680.0,3114.0,2566.0,26560,3814.0,1033.0,52.0,383.0,50.0,298.0,5802.0,3006.0,2796.0,32205,4220.0,1408.0,61.0,453.0,0.0,400.0,6676.0,3273.0,3403.0,20458,4670.0,1173.0,53.0,230.0,0.0,462.0,6711.0,3025.0,3686.0,2780,4440.0,957.0,48.0,321.0,0.0,402.0,6366.0,2714.0,3652.0,19066,3658.0,1104.0,11.0,378.0,0.0,495.0,5746.0,2319.0,3427.0
8,27532,1951.0,128.0,195.0,73.0,0.0,29.0,2476.0,1151.0,1325.0,78681,27370,2370.0,195.0,152.0,105.0,0.0,51.0,2979.0,1418.0,1561.0,27213,2759.0,372.0,189.0,113.0,0.0,102.0,3668.0,1703.0,1965.0,27850,3324.0,278.0,236.0,172.0,0.0,101.0,4206.0,1910.0,2296.0,32215,3830.0,300.0,132.0,108.0,0.0,78.0,4482.0,2085.0,2397.0,20468,2704.0,315.0,0.0,169.0,0.0,72.0,3297.0,1389.0,1908.0,2818,2325.0,265.0,0.0,305.0,0.0,75.0,2992.0,1095.0,1897.0,19495,2080.0,146.0,0.0,324.0,0.0,42.0,2592.0,951.0,1641.0
9,27533,795.0,150.0,0.0,107.0,0.0,32.0,1164.0,653.0,511.0,78701,27371,816.0,133.0,0.0,71.0,0.0,17.0,1096.0,564.0,532.0,27214,702.0,152.0,0.0,1.0,0.0,9.0,902.0,463.0,439.0,27851,703.0,125.0,0.0,1.0,0.0,9.0,864.0,408.0,456.0,32216,637.0,92.0,13.0,17.0,0.0,11.0,788.0,413.0,375.0,20469,569.0,58.0,17.0,13.0,0.0,13.0,679.0,386.0,293.0,2730,816.0,117.0,21.0,24.0,0.0,24.0,1038.0,649.0,389.0,19086,895.0,190.0,24.0,109.0,0.0,37.0,1303.0,830.0,473.0
10,27534,3034.0,1327.0,91.0,137.0,0.0,160.0,6505.0,2750.0,3755.0,78702,27372,3386.0,1109.0,85.0,94.0,0.0,172.0,6694.0,3011.0,3683.0,27215,3607.0,1043.0,69.0,57.0,0.0,161.0,6592.0,2884.0,3708.0,27852,3758.0,1218.0,63.0,52.0,0.0,198.0,6510.0,2995.0,3515.0,32217,3447.0,1249.0,40.0,141.0,0.0,159.0,5730.0,2807.0,2923.0,20470,3559.0,1424.0,0.0,114.0,0.0,184.0,5481.0,2578.0,2903.0,222,3329.0,1433.0,0.0,97.0,0.0,203.0,5207.0,2332.0,2875.0,19612,3097.0,1498.0,0.0,87.0,0.0,154.0,5032.0,2306.0,2726.0
11,27535,1773.0,66.0,23.0,138.0,0.0,0.0,2011.0,964.0,1047.0,78703,27373,1705.0,45.0,55.0,170.0,0.0,0.0,1991.0,939.0,1052.0,27216,1414.0,42.0,33.0,123.0,0.0,0.0,1626.0,828.0,798.0,27853,1289.0,33.0,24.0,205.0,0.0,0.0,1567.0,877.0,690.0,32218,1134.0,29.0,26.0,214.0,0.0,0.0,1403.0,769.0,634.0,20471,1172.0,3.0,28.0,311.0,0.0,0.0,1515.0,766.0,749.0,2797,1054.0,1.0,4.0,294.0,0.0,0.0,1355.0,754.0,601.0,17966,777.0,1.0,3.0,374.0,0.0,0.0,1176.0,668.0,508.0
12,27536,5600.0,695.0,78.0,17.0,0.0,291.0,7595.0,3184.0,4411.0,78704,27374,6717.0,658.0,158.0,34.0,0.0,239.0,8472.0,3719.0,4753.0,27217,6920.0,550.0,142.0,59.0,0.0,291.0,8160.0,3911.0,4249.0,27854,6599.0,468.0,168.0,83.0,0.0,393.0,7815.0,3683.0,4132.0,32219,6368.0,535.0,155.0,116.0,0.0,259.0,7539.0,3700.0,3839.0,20472,6191.0,513.0,184.0,143.0,33.0,154.0,7332.0,3537.0,3795.0,2819,5772.0,558.0,136.0,199.0,24.0,146.0,6944.0,3206.0,3738.0,19496,5081.0,584.0,124.0,173.0,27.0,160.0,6288.0,2735.0,3553.0
13,27537,9837.0,262.0,41.0,2277.0,0.0,283.0,12977.0,6269.0,6708.0,78705,27375,10139.0,209.0,49.0,2426.0,0.0,330.0,13437.0,6638.0,6799.0,27218,9931.0,266.0,55.0,2623.0,0.0,516.0,13638.0,7032.0,6606.0,27855,9496.0,202.0,35.0,2882.0,0.0,556.0,13383.0,6824.0,6559.0,32220,9202.0,312.0,89.0,3182.0,0.0,508.0,13577.0,6505.0,7072.0,20473,8480.0,323.0,72.0,3292.0,0.0,575.0,12961.0,6613.0,6348.0,202,8246.0,397.0,66.0,3426.0,0.0,531.0,12903.0,6801.0,6102.0,19603,8190.0,360.0,55.0,3629.0,0.0,558.0,13108.0,6688.0,6420.0
14,27538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712,27376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,27539,351.0,0.0,0.0,100.0,0.0,0.0,515.0,211.0,304.0,78717,27377,385.0,0.0,0.0,144.0,0.0,0.0,598.0,230.0,368.0,27220,341.0,0.0,0.0,84.0,0.0,0.0,477.0,126.0,351.0,27857,531.0,0.0,0.0,97.0,0.0,0.0,628.0,256.0,372.0,32222,471.0,0.0,0.0,108.0,0.0,0.0,579.0,226.0,353.0,20475,577.0,32.0,0.0,103.0,0.0,0.0,712.0,308.0,404.0,2134,636.0,30.0,15.0,282.0,0.0,92.0,1055.0,377.0,678.0,18918,661.0,30.0,31.0,267.0,0.0,99.0,1131.0,404.0,727.0
16,27540,70.0,0.0,0.0,0.0,0.0,0.0,79.0,31.0,48.0,78719,27378,257.0,0.0,0.0,0.0,0.0,0.0,282.0,90.0,192.0,27221,366.0,0.0,0.0,0.0,0.0,0.0,386.0,130.0,256.0,27858,378.0,0.0,0.0,0.0,0.0,0.0,388.0,142.0,246.0,32223,148.0,0.0,0.0,0.0,0.0,0.0,163.0,63.0,100.0,20476,269.0,14.0,0.0,0.0,0.0,0.0,310.0,136.0,174.0,2691,248.0,12.0,0.0,0.0,0.0,0.0,299.0,126.0,173.0,18999,187.0,11.0,0.0,0.0,0.0,0.0,237.0,101.0,136.0
17,27541,1360.0,855.0,62.0,12.0,11.0,42.0,3707.0,1464.0,2243.0,78721,27379,1700.0,883.0,58.0,22.0,12.0,70.0,3536.0,1422.0,2114.0,27222,1957.0,979.0,64.0,15.0,8.0,66.0,3747.0,1500.0,2247.0,27859,1997.0,1194.0,64.0,14.0,14.0,79.0,4002.0,1669.0,2333.0,32224,1958.0,1319.0,59.0,46.0,25.0,64.0,3878.0,1538.0,2340.0,20477,1903.0,1312.0,3.0,60.0,0.0,32.0,3516.0,1323.0,2193.0,2798,1874.0,1251.0,4.0,54.0,0.0,8.0,3425.0,1365.0,2060.0,17967,1770.0,1066.0,7.0,44.0,0.0,0.0,3208.0,1308.0,1900.0
18,27542,635.0,158.0,0.0,24.0,0.0,11.0,989.0,442.0,547.0,78722,27380,624.0,221.0,0.0,22.0,0.0,17.0,1076.0,531.0,545.0,27223,554.0,157.0,0.0,10.0,34.0,15.0,968.0,442.0,526.0,27860,435.0,240.0,0.0,7.0,35.0,72.0,1046.0,413.0,633.0,32225,458.0,109.0,0.0,16.0,35.0,161.0,1005.0,338.0,667.0,20478,625.0,95.0,0.0,10.0,32.0,224.0,986.0,238.0,748.0,2779,449.0,75.0,0.0,9.0,29.0,149.0,711.0,203.0,508.0,19065,458.0,42.0,0.0,34.0,0.0,179.0,752.0,251.0,501.0
19,27543,4730.0,2388.0,138.0,144.0,0.0,87.0,8513.0,3733.0,4780.0,78723,27381,6057.0,2041.0,126.0,128.0,0.0,115.0,8797.0,3920.0,4877.0,27224,5889.0,2373.0,132.0,65.0,0.0,137.0,8837.0,3863.0,4974.0,27861,6062.0,2291.0,30.0,54.0,0.0,163.0,9155.0,3947.0,5208.0,32226,6526.0,2232.0,9.0,96.0,0.0,132.0,9608.0,4200.0,5408.0,20479,5490.0,1904.0,10.0,121.0,0.0,114.0,8699.0,3948.0,4751.0,2692,4370.0,1957.0,11.0,137.0,0.0,112.0,7660.0,3271.0,4389.0,19000,3655.0,2202.0,9.0,165.0,0.0,129.0,7327.0,3123.0,4204.0
20,27544,2672.0,1813.0,0.0,0.0,0.0,525.0,6538.0,2974.0,3564.0,78724,27382,3528.0,2038.0,0.0,0.0,0.0,729.0,7745.0,3723.0,4022.0,27225,3469.0,1585.0,0.0,0.0,0.0,722.0,6562.0,3338.0,3224.0,27862,4285.0,1529.0,0.0,0.0,0.0,707.0,7149.0,3460.0,3689.0,32227,4575.0,1451.0,46.0,0.0,0.0,259.0,6943.0,3509.0,3434.0,20480,4294.0,1200.0,108.0,0.0,0.0,226.0,6707.0,3326.0,3381.0,2694,3814.0,958.0,93.0,0.0,12.0,155.0,6332.0,3089.0,3243.0,19013,3109.0,902.0,99.0,0.0,20.0,152.0,6077.0,2840.0,3237.0
21,27545,222.0,123.0,0.0,52.0,0.0,42.0,571.0,192.0,379.0,78725,27383,457.0,363.0,0.0,0.0,0.0,104.0,985.0,457.0,528.0,27226,845.0,381.0,0.0,0.0,0.0,65.0,1342.0,629.0,713.0,27863,721.0,575.0,0.0,0.0,0.0,94.0,1390.0,651.0,739.0,32228,696.0,599.0,0.0,0.0,0.0,64.0,1359.0,711.0,648.0,20481,832.0,771.0,0.0,0.0,0.0,65.0,1668.0,919.0,749.0,2820,597.0,342.0,0.0,0.0,0.0,31.0,1354.0,656.0,698.0,19497,297.0,236.0,0.0,0.0,0.0,25.0,774.0,378.0,396.0
22,27546,541.0,78.0,0.0,0.0,0.0,47.0,666.0,407.0,259.0,78726,27384,1017.0,73.0,0.0,0.0,0.0,17.0,1107.0,633.0,474.0,27227,1116.0,61.0,0.0,0.0,0.0,47.0,1224.0,587.0,637.0,27864,1032.0,21.0,0.0,0.0,0.0,53.0,1106.0,413.0,693.0,32229,959.0,14.0,0.0,0.0,0.0,31.0,1004.0,256.0,748.0,20482,956.0,13.0,0.0,0.0,0.0,91.0,1060.0,279.0,781.0,2799,422.0,12.0,0.0,67.0,0.0,85.0,586.0,109.0,477.0,17968,400.0,20.0,0.0,110.0,0.0,94.0,624.0,171.0,453.0
23,27547,1535.0,734.0,63.0,334.0,0.0,8.0,2915.0,1195.0,1720.0,78727,27385,1631.0,861.0,101.0,282.0,0.0,10.0,3089.0,1250.0,1839.0,27228,1650.0,540.0,88.0,348.0,0.0,10.0,2679.0,1116.0,1563.0,27865,1625.0,611.0,69.0,407.0,0.0,60.0,2911.0,1217.0,1694.0,32230,1201.0,338.0,0.0,432.0,0.0,48.0,2137.0,857.0,1280.0,20483,1062.0,314.0,0.0,246.0,0.0,77.0,1811.0,738.0,1073.0,2695,1214.0,116.0,0.0,177.0,0.0,79.0,1788.0,715.0,1073.0,19014,1223.0,171.0,0.0,253.0,0.0,94.0,1910.0,752.0,1158.0
24,27548,1804.0,258.0,0.0,363.0,32.0,159.0,2671.0,1338.0,1333.0,78728,27386,1920.0,317.0,0.0,335.0,36.0,166.0,2885.0,1411.0,1474.0,27229,1779.0,376.0,0.0,392.0,29.0,196.0,2881.0,1425.0,1456.0,27866,1837.0,396.0,0.0,390.0,28.0,267.0,3040.0,1484.0,1556.0,32231,1299.0,542.0,0.0,183.0,0.0,137.0,2295.0,986.0,1309.0,21654,935.0,503.0,0.0,95.0,0.0,131.0,1846.0,861.0,985.0,2800,1064.0,667.0,0.0,83.0,0.0,127.0,2077.0,953.0,1124.0,17969,1534.0,578.0,0.0,81.0,0.0,123.0,2457.0,1281.0,1176.0
25,27549,1779.0,134.0,0.0,294.0,0.0,153.0,2390.0,890.0,1500.0,78729,27387,1463.0,131.0,0.0,390.0,0.0,92.0,2108.0,861.0,1247.0,27230,1339.0,187.0,0.0,362.0,0.0,54.0,1967.0,867.0,1100.0,27867,1489.0,355.0,0.0,242.0,0.0,77.0,2206.0,968.0,1238.0,32232,1516.0,403.0,0.0,218.0,0.0,73.0,2267.0,1056.0,1211.0,21655,1211.0,353.0,0.0,181.0,0.0,77.0,1878.0,867.0,1011.0,2683,1251.0,312.0,0.0,147.0,0.0,81.0,1899.0,973.0,926.0,18991,968.0,299.0,0.0,98.0,0.0,84.0,1584.0,759.0,825.0
26,27550,121.0,0.0,0.0,20.0,0.0,0.0,141.0,93.0,48.0,78730,27388,281.0,0.0,0.0,34.0,0.0,45.0,360.0,148.0,212.0,27231,367.0,0.0,0.0,37.0,0.0,45.0,449.0,138.0,311.0,27868,360.0,0.0,0.0,37.0,0.0,42.0,439.0,133.0,306.0,32233,349.0,0.0,0.0,20.0,0.0,46.0,415.0,115.0,300.0,21656,306.0,0.0,0.0,16.0,0.0,38.0,360.0,85.0,275.0,2696,159.0,0.0,0.0,0.0,0.0,0.0,159.0,24.0,135.0,19015,249.0,0.0,0.0,0.0,0.0,0.0,249.0,107.0,142.0
27,27551,1519.0,72.0,0.0,722.0,0.0,31.0,2378.0,1030.0,1348.0,78731,27389,1299.0,78.0,0.0,745.0,0.0,59.0,2196.0,846.0,1350.0,27232,1722.0,118.0,0.0,609.0,0.0,60.0,2530.0,997.0,1533.0,27869,1704.0,82.0,0.0,548.0,0.0,41.0,2405.0,907.0,1498.0,32234,1734.0,73.0,0.0,571.0,0.0,41.0,2446.0,987.0,1459.0,21657,1737.0,78.0,0.0,472.0,0.0,57.0,2438.0,918.0,1520.0,17854,1860.0,113.0,0.0,413.0,0.0,75.0,2550.0,892.0,1658.0,19595,1693.0,46.0,0.0,478.0,0.0,140.0,2446.0,896.0,1550.0
