ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2018,"2018","04000US48","Texas",56011,4357.113953065722,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2018,"2018","04000US48","Texas",11693,2247.8400743825173,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2018,"2018","04000US48","Texas",13733,2422.9331398121576,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2018,"2018","04000US48","Texas",45718,3758.4172200542075,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2018,"2018","04000US48","Texas",13926,2280.9318271268,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2018,"2018","04000US48","Texas",39421,3419.6856580685894,"Austin, TX","16000US4805000","austin-tx"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2018,"2018","04000US48","Texas",11183,1973.1996857895556,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2018,"2018","04000US48","Texas",18783,2673.61066724383,"Austin, TX","16000US4805000","austin-tx"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2018,"2018","04000US48","Texas",26421,3568.7008840753247,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2018,"2018","04000US48","Texas",8203,1732.196582377416,"Austin, TX","16000US4805000","austin-tx"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2018,"2018","04000US48","Texas",396,339.6763165132359,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2018,"2018","04000US48","Texas",6803,1404.7352063645305,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2018,"2018","04000US48","Texas",71665,4758.303163944054,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2018,"2018","04000US48","Texas",12147,2194.7548838082125,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2018,"2018","04000US48","Texas",57567,4736.253477169481,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2018,"2018","04000US48","Texas",35205,3122.7290948783884,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2018,"2018","04000US48","Texas",2156,978.7594188563398,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2018,"2018","04000US48","Texas",20538,2682.6824262293885,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2018,"2018","04000US48","Texas",4393,1194.0016750407012,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2018,"2018","04000US48","Texas",22410,2864.336921523025,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2018,"2018","04000US48","Texas",13829,2409.9172184952745,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2018,"2018","04000US48","Texas",7072,1476.558498671827,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2018,"2018","04000US48","Texas",16863,2838.461026683298,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2018,"2018","04000US48","Texas",11644,2526.9507316131035,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2018,"2018","04000US48","Texas",36964,4168.113722057017,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2017,"2017","04000US48","Texas",5961,1580.6511316542937,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2017,"2017","04000US48","Texas",9783,1500.8331019803634,"Austin, TX","16000US4805000","austin-tx"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2017,"2017","04000US48","Texas",10634,1986.190826683076,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2017,"2017","04000US48","Texas",17667,2717.7615789469096,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2017,"2017","04000US48","Texas",59951,4590.167861854291,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2017,"2017","04000US48","Texas",38298,3154.8656072802846,"Austin, TX","16000US4805000","austin-tx"
